pattern_id	banned_phrase	why	smell_severity	paper_count	adversarial_count	evidence	papers
endeavor	we endeavor to X...	we aim to X / we attempt to X	high	0	0	prior	substring: 'endeavor'
moreover_use	moreover,...	Moreover, ... (acceptable but not preferred)	low	0	0	prior	substring: 'Moreover' >2x per paragraph
furthermore_use	furthermore,...	Furthermore, ... (acceptable)	low	0	0	prior	substring: 'Furthermore' >3x per page
novel_overuse	a novel X...	previously uncharacterized X (max once)	high	0	0	prior	repeated 'novel' >1x per paper
first_to_show	first, to our knowledge, we show...	accept on rare occasion; never start with 'first,'	high	0	0	prior	substring: 'first, to our knowledge'
very_extremely	a very X...	DELETE (use quantitative)	high	0	0	prior	substring: 'very' before adjective
extremely_highly	a highly X...	a strongly X / a markedly X	high	0	0	prior	substring: 'highly' before adjective
in_conclusion	n conclusion, X...	DELETE / Together, ... / Our findings ...	high	0	0	prior	substring: 'in conclusion'
to_conclude	to conclude, X...	DELETE	high	0	0	prior	substring: 'to conclude'
finally_end	finally, we showed...	Finally, ... (acceptable for last item)	low	0	0	prior	substring: 'Finally' >2x
hereby	hereby, we demonstrate...	DELETE	high	0	0	prior	substring: 'hereby'
therein	...; therein, X...	DELETE	high	0	0	prior	substring: 'therein'
thereof	...; thereof, X...	DELETE	high	0	0	prior	substring: 'thereof'
heretofore	hitherto unknown X...	previously unknown X	high	0	0	prior	substring: 'heretofore'
thus_showed	thus, we showed X...	we showed X / we found X	high	0	0	prior	substring: 'thus,' at sentence start (overuse)
overall_summary	overall, our findings...	Together, our findings... / In summary, ...	high	0	0	prior	substring: 'overall, our'
fill_gap	to fill this gap, we...	acceptable; ok to use once	low	0	0	prior	substring: 'fill this gap' >1x
add_to_knowledge	this adds to the growing body of knowledge...	DELETE	high	0	0	prior	substring: 'adds to the growing'
shed_new_light	sheds new light on...	reveals / clarifies	high	0	0	prior	substring: 'shed new light'
broadly_speak	broadly speaking, X...	In general, X...	high	0	0	prior	substring: 'broadly speaking'
long_stood	has long been debated...	acceptable but specific	low	0	0	prior	substring: 'has long been debated'
ever_changing	the ever-changing landscape of X...	DELETE	high	0	0	prior	substring: 'ever-changing'
interplay_of	the interplay of X and Y...	how X and Y interact / interaction between X and Y	high	0	0	prior	substring: 'interplay' (overuse)
showcase	showcasing X...	demonstrating X / showing X	high	0	0	prior	substring: 'showcas'
underscore	the results underscore X...	the results highlight X / the results demonstrate X	high	0	0	prior	substring: 'underscore'
delve_deeper	we delve deeper into X...	we examine X further / we investigate X further	high	0	0	prior	substring: 'delve deeper'
key_insight	a key insight is...	We found that ... / Notably, ...	high	0	0	prior	substring: 'key insight'
crucial_step	a crucial step toward...	DELETE (just: a step toward / progress toward)	high	0	0	prior	substring: 'crucial step'
deep_understanding	a deep understanding of X...	a mechanistic understanding of X	high	0	0	prior	substring: 'deep understanding'
evolving_understanding	the evolving understanding of X...	DELETE / current understanding of X	high	0	0	prior	substring: 'evolving understanding'
complex_web	the complex web of X...	the network of X	high	0	0	prior	substring: 'complex web'
vital_role	a vital role...	essential for / required for	high	0	0	prior	substring: 'vital role'
indicative_of	a finding indicative of X...	a finding suggesting X / consistent with X	high	0	0	prior	substring: 'indicative of'
delve_into_X	the study delves into X...	the study examines X	high	0	0	prior	substring: 'delves into'
as_previously	as previously demonstrated...	DELETE (cite reference)	high	0	0	prior	substring: 'as previously demonstrated'
it_was_found	it was found that X...	we found that X	high	0	0	prior	substring: 'it was found that'
it_was_observed	it was observed that X...	we observed that X	high	0	0	prior	substring: 'it was observed that'
it_can_be_seen	it can be seen that X...	DELETE / X is shown by ...	high	0	0	prior	substring: 'it can be seen'
the_fact_that	due to the fact that X...	because X	high	0	0	prior	substring: 'the fact that'
with_respect_to	with respect to X...	for X / regarding X	high	0	0	prior	substring: 'with respect to'
in_terms_of	n terms of X...	for X	high	0	0	prior	substring: 'in terms of'
concerning	a study concerning X...	a study of X	high	0	0	prior	substring: 'concerning X'
regarding	regarding the issue of X...	DELETE / on X	high	0	0	prior	substring: 'regarding the'
as_a_result	as a result of X...	because of X	high	0	0	prior	substring: 'as a result of'
on_the_other_hand	on the other hand, X...	However, X	high	0	0	prior	substring: 'on the other hand'
in_addition_to	n addition to X...	Beyond X / besides X	high	0	0	prior	substring: 'in addition to X'
together_with	together with X...	with X	high	0	0	prior	substring: 'together with'
the_first_to	the first to X...	we are the first to X (rare; usually delete)	high	0	0	prior	substring: 'the first to X'
deep_dive	a deep dive into X...	DELETE / a detailed examination of X	high	0	0	prior	substring: 'deep dive'
in_recent_years	n recent years, X...	Recently, X	high	0	0	prior	substring: 'in recent years'
over_the_past	over the past decade, X...	DELETE / recent	high	0	0	prior	substring: 'over the past'
garner_attention	has garnered significant attention...	DELETE / has been extensively studied	high	0	0	prior	substring: 'garnered'
unprecedented	an unprecedented X...	a new X	high	0	0	prior	substring: 'unprecedented'
breakthrough	a breakthrough in X...	DELETE (cite specifics)	high	0	0	prior	substring: 'breakthrough'
phenomenal	a phenomenal X...	DELETE	high	0	0	prior	substring: 'phenomenal'
strikingly_dramatic	a strikingly dramatic X...	a notable X	high	0	0	prior	substring: 'dramatic' (adjective)
raise_questions	these findings raise important questions...	DELETE / these findings prompt further investigation	high	0	0	prior	substring: 'raise important questions'
key_question	the key question is...	DELETE / We asked whether ...	high	0	0	prior	substring: 'key question'
open_new_avenues	opens new avenues for X...	opens possibilities for X / may inform X	high	0	0	prior	substring: 'new avenues'
pave_the_way	pave the way for X...	enable X / facilitate X	high	0	0	prior	substring: 'pave the way'
broad_implications	have broad implications...	have implications for / may inform	high	0	0	prior	substring: 'broad implications'
wide_impact	have wide-ranging impact...	DELETE / have implications for	high	0	0	prior	substring: 'wide-ranging'
wide_applicability	have wide applicability...	DELETE	high	0	0	prior	substring: 'wide applicability'
rich_history	has a rich history...	has been studied since ... / extends back to	high	0	0	prior	substring: 'rich history'
many_years_of	after many years of X...	after years of X / through sustained X	high	0	0	prior	substring: 'many years of'
with_the_advent	with the advent of X...	with X / following X	high	0	0	prior	substring: 'with the advent'
in_the_face_of	n the face of X...	despite X / given X	high	0	0	prior	substring: 'in the face of'
to_this_end	to this end, we...	To address this, we ... / For this purpose, we ...	high	0	0	prior	substring: 'to this end'
key_player	X is a key player in Y...	X regulates Y / X is essential for Y	high	0	0	prior	substring: 'key player'
key_regulator	X is a key regulator...	X regulates / X governs	high	0	0	prior	substring: 'key regulator'
convergent_evidence	a convergent body of evidence...	DELETE (cite the evidence)	high	0	0	prior	substring: 'convergent'
amassed	has amassed significant X...	has generated X / has accumulated X	high	0	0	prior	substring: 'amassed'
unique_opportunity	a unique opportunity to X...	DELETE / we can X	high	0	0	prior	substring: 'unique opportunity'
vital_component	a vital component of X...	essential for X	high	0	0	prior	substring: 'vital component'
em_dash	em-dash (U+2014)	No em-dash in output; use comma, parenthesis, or two clauses instead.	critical	0	0	prior	substring: U+2014
A2000	bare evaluative praise (excellent/superb/remarkable/outstanding + performance/stability) with NO metric in the same sentence	Replace with the metric itself: EQE of 21.4%, T95 of >16,233 h, luminance of 1.0 x 10^5 cd m-2. Corpus reality (189-paper audit 2026-09-01): phrase appears in 46 papers; 21 occurrences carry a number, 34 are bare. Metric-accompanied use is acceptable but prefer leading with the number; the bare form remains banned. Adversarial diff: 7/24 AI-generated device texts used the bare form.	critical	46	7	adversarial_diff_calibrated	
A2001	as we all know, ...	DELETE; state the fact with a citation (e.g., ZnO NP electron transport layer since 2011) or derive it in one clause. Appeal to shared knowledge never appears in the corpus. || adversarial diff: hit 3/24 AI samples, 0/136 corpus	critical	0	3	adversarial_diff	
A2002	a game-changing advance in displays/solid-state lighting	an advance that enables X (cite the EQE/luminance/CIE number) / a step toward commercial X || adversarial diff: hit 3/24 AI samples, 0/136 corpus	high	0	3	adversarial_diff	
A2003	this strategy will revolutionize the field of QLEDs/PeLEDs	may advance X / could enable broad adoption of Cd-free QLEDs (keep the claim scoped to the demonstrated devices) || adversarial diff: hit 5/24 AI samples, 0/136 corpus	high	0	5	adversarial_diff	
A2004	the holy grail of pure-blue QLEDs	a long-standing goal (e.g., stable and efficient pure-blue electroluminescence with CIEy < 0.15) || adversarial diff: hit 3/24 AI samples, 0/136 corpus	high	0	3	adversarial_diff	
A2005	a testament to X	Replace with 'demonstrates X' and cite the metric (e.g., EQE of 21.4%, T50 of 1,150 h); delete the courtroom metaphor. || adversarial diff: hit 4/24 AI samples, 0/136 corpus	high	0	4	adversarial_diff	
A2006	the device/film boasts X	Replace with 'reaches/achieves/exhibits X' followed directly by the number (boast/boasts/boasted). || adversarial diff: hit 4/24 AI samples, 1/136 corpus	high	0	4	adversarial_diff	
A2007	an elegant strategy/solution	DELETE; describe the actual procedure (single-step, gradient, one-pot) and let the result carry the point. || adversarial diff: hit 4/24 AI samples, 0/136 corpus	high	0	4	adversarial_diff	
A2008	tantalizing prospects/opportunities	DELETE or scope to the demonstrated device: 'promising for X (with the measured EQE/lifetime)'. || adversarial diff: hit 3/24 AI samples, 1/136 corpus	high	0	3	adversarial_diff	
A2009	a holistic understanding/approach	Replace with 'systematic' or name the exact scope (charge balance, degradation pathway, shell growth kinetics). || adversarial diff: hit 3/24 AI samples, 1/136 corpus	high	0	3	adversarial_diff	
A2010	in the quest for X	Replace with 'To achieve X' / 'Toward X'. || adversarial diff: hit 3/24 AI samples, 0/136 corpus	high	0	3	adversarial_diff	
A2011	rapidly evolving field	DELETE; cite the recent reviews or state the concrete progress (e.g., EQE from 1% to 20% in six years). || adversarial diff: hit 3/24 AI samples, 1/136 corpus	high	0	3	adversarial_diff	
A2012	a delicate balance between X and Y	Replace with 'a trade-off between X and Y' and quantify both sides (e.g., passivation depth vs. injection barrier). || adversarial diff: hit 3/24 AI samples, 1/136 corpus	high	0	3	adversarial_diff	
