phrase_id	slot	phrase	paper_count	usage_note	evidence	prior_row	top_papers
P3002	abstract	here we report X to address these limitations.	22	Here we report + 策略名，衔接前句 gap	distilled_physics		10.1038/s41377-025-01987-8, 10.1038/s41467-021-24931-x, 10.1038/s41467-024-55376-7
P3003	abstract	here we show that X, achieving Y.	2	Here we show + 机制主张 + 分词收尾指标	distilled_physics		10.1038/s41467-020-15481-9, 10.1038/s41467-023-43340-w
P3004	abstract	as a result, we achieve a peak external quantum efficiency of N%.	20	第一人称指标宣布句	distilled_physics		10.1038/s41467-025-65135-x, 10.1038/s41467-025-59527-2, 10.1038/s41377-024-01601-3
P3005	abstract	the resulting devices exhibit external quantum efficiencies of N% (X), M% (Y) and K% (Z).	26	多色器件并列指标报告	distilled_physics		10.1038/s41467-025-64696-1, 10.1038/s41928-024-01181-5, 10.1038/s41467-025-65135-x
P3006	abstract	the devices retained N% of their initial luminance after T hours of operation.	28	量化收尾：retained/maintained + 指标，优于空泛声明	distilled_physics		10.1038/s41467-025-66421-4, 10.1038/s41467-026-72733-w, 10.1038/s41467-025-58047-3
P3007	abstract	to address this issue, we X.	19	目标句：issue 承接上文 gap	distilled_physics		10.1038/s41467-025-56557-8, 10.1038/s41467-024-49574-6, 10.1038/s41467-025-58047-3
P3008	abstract	X remains a bottleneck for the practical applications of Y.	17	瓶颈句：roll-off/stability/short lifetime 语境	distilled_physics		10.1038/s41377-025-01817-x, 10.1038/s41467-021-27652-3, 10.1038/s43246-020-00084-0
P3009	introduction	quantum-dot light-emitting diodes (QLEDs) have emerged as X for next-generation display and solid-state lighting.	7	领域框架句 + 缩写首现	distilled_physics		10.1038/s41467-023-43340-w, 10.1038/s41467-020-16659-x, 10.1038/s41467-019-08749-2
P3010	introduction	perovskite light-emitting diodes (PeLEDs) with an EQE of N% have been reported.	8	现状综述：领域指标盘点	distilled_physics		10.1038/s41377-026-02184-x, 10.1038/s41467-023-41929-9, 10.1038/s41928-024-01181-5
P3011	introduction	significant progress in X has been made since the introduction of Y as the electron-transport layer (ETL).	4	ETL/HTL 技术现状句	distilled_physics		10.1038/s41377-025-01867-1, 10.1038/s41586-023-05855-6, 10.1038/s41467-019-08749-2
P3012	introduction	NiOx/SAM combinations have been generally utilized as hole-transport layers in X.	13	NiOx/HTL 现状句：无机 HTL 语境	distilled_physics		10.1038/s41467-025-59515-6, 10.1038/s41467-025-64111-9, 10.1038/s41467-025-63389-z
P3013	introduction	the efficiency and stability are likely limited by X and high defect densities of Y.	21	缺陷/能级 gap：填 low phase purity、trap states 等	distilled_physics		10.1038/s41467-023-36118-7, 10.1038/s41467-025-59515-6, 10.1038/s41467-019-08749-2
P3014	introduction	to the best of our knowledge, X has rarely been investigated.	19	知识空白声明 + 谦逊限定	distilled_physics		10.1038/s41467-025-58471-5, 10.1038/s41467-025-60886-z, 10.1038/s41467-025-58047-3
P3015	results	the device exhibited a peak EQE of N% and a maximum luminance of M cd m⁻².	34	指标双联报告句式	distilled_physics		10.1038/s41377-025-02000-y, 10.1038/s41467-024-53965-0, 10.1038/s43246-021-00203-5
P3016	results	the LED displayed a low turn-on voltage of N V.	39	开启电压报告：low/reduced V-on	distilled_physics		10.1038/s41377-024-01704-x, 10.1038/s41467-020-16659-x, 10.1038/s43246-020-00084-0
P3017	results	the electroluminescence spectra showed emission peaks at N nm with a full width at half maximum of M nm.	49	EL 光谱 + FWHM 报告句式	distilled_physics		10.1038/s41377-022-01036-8, 10.1038/s41467-024-50022-8, 10.1038/s43246-020-00084-0
P3018	results	the operational lifetime (LT50) reached T hours at an initial luminance of L cd m⁻².	33	寿命报告：必须给初始亮度 L0	distilled_physics		10.1038/s41467-024-52401-7, 10.1038/s41377-024-01727-4, 10.1038/s41467-019-08749-2
P3019	results	figure N shows the current density–voltage–luminance (J–V–L) characteristics of the devices.	55	J-V-L 图表引用句式	distilled_physics		10.1038/s41467-024-50022-8, 10.1038/s41467-023-43408-7, 10.1038/s41377-022-01036-8
P3020	results	the EQE histogram of N devices shows an average EQE of M% with a low relative standard deviation of K%.	26	器件统计句：N + average + s.d.	distilled_physics		10.1038/s41467-018-02978-7, 10.1038/s41467-023-36118-7, 10.1038/s43246-021-00203-5
P3021	results	the champion device achieved a certified EQE of N%.	22	champion + certified 认证值报告	distilled_physics		10.1038/s41467-024-55653-5, 10.1038/s41467-025-57746-1, 10.1038/s41467-024-55376-7
P3022	results	X is significantly improved compared with previously reported Y.	31	与文献对比句式	distilled_physics		10.1038/s41467-023-36118-7, 10.1038/s41467-025-64696-1, 10.1038/s41467-024-55376-7
P3023	results	both devices exhibited negligible hysteresis of the J–V characteristics.	55	J-V 滞回说明：negligible hysteresis	distilled_physics		10.1038/s41467-026-71301-6, 10.1038/s41467-019-13437-2, 10.1038/s41377-022-01036-8
P3024	results	notably, X retained an EQE of N% at a luminance of 10,000 cd m⁻².	17	roll-off 量化：高亮度下保持效率	distilled_physics		10.1038/s41377-025-01817-x, 10.1038/s41467-025-56557-8, 10.1038/s43246-020-00084-0
P3025	discussion	the improvement in X is attributed to Y.	56	机理归因：Y 填物理机制（suppressed non-radiative recombination）	distilled_physics		10.1038/s41467-019-13437-2, 10.1038/s41467-025-57200-2, 10.1038/s41467-024-55376-7
P3026	discussion	X is ascribed to suppressed non-radiative recombination.	48	归因 + 标准机制名词	distilled_physics		10.1038/s41467-026-74151-4, 10.1038/s41467-025-64546-0, 10.1038/s41467-024-55376-7
P3027	discussion	these results suggest the presence of strong non-radiative recombination channels.	48	suggest + 机制推断，避免过度归因	distilled_physics		10.1038/s41467-025-62345-1, 10.1038/s41467-026-73911-6, 10.1038/s41467-024-55376-7
P3028	discussion	with higher PLQY and better charge balance, X achieved the highest EQE of N%.	18	双因子效率归因句式	distilled_physics		10.1038/s41467-020-15481-9, 10.1038/s41467-023-35954-x, 10.1038/s43246-020-00084-0
P3029	discussion	however, the expected improvement in X has not always materialized.	58	局限/反例句：诚实报告边界	distilled_physics		10.1038/s41586-024-07149-x, 10.1038/s41928-024-01181-5, 10.1038/s41467-019-08749-2
P3030	discussion	our results pave the way for X.	14	展望句：X 填应用方向（practical application of QLEDs）	distilled_physics		10.1038/s41467-023-41929-9, 10.1038/s41467-023-41868-5, 10.1038/s41467-025-58047-3
P3031	methods	the X solution was spin-coated onto Y at N r.p.m. for M s and annealed at T °C for K min.	44	制备被动句：转速/时间/退火全参数	distilled_physics		10.1038/s41467-018-07099-9, 10.1038/s41467-024-49574-6, 10.1038/s43246-020-00084-0
P3032	methods	the substrates were then transferred into a nitrogen-filled glovebox.	42	气氛转换声明句	distilled_physics		10.1038/s41467-019-13437-2, 10.1038/s41377-026-02246-0, 10.1038/s41467-024-55376-7
P3033	methods	X (~N nm) was deposited by thermal evaporation.	67	电极/顶层蒸镀句 + 厚度	distilled_physics		10.1038/s41467-025-58047-3, 10.1038/s41586-023-05855-6, 10.1038/s43246-020-00084-0
P3034	methods	the J–V–L characteristics and electroluminescence spectra were measured using a source meter and a spectrometer.	72	表征仪器句：补型号（Keithley 2400 等）	distilled_physics		10.1038/s41467-023-43408-7, 10.1038/s41467-020-15481-9, 10.1038/s43246-020-00084-0
P3035	methods	all device fabrication and characterization were performed in an N2-filled glovebox unless stated otherwise.	49	全流程气氛声明 + 例外条款	distilled_physics		10.1038/s41467-024-55376-7, 10.1038/s41467-025-58047-3, 10.1038/s41467-019-08749-2
P3036	sentence	in contrast, the device with X showed Y.	43	对比连接词 + 器件主语	distilled_physics		10.1038/s41467-023-43408-7, 10.1038/s41467-019-08749-2, 10.1038/s41467-020-15944-z
P3037	sentence	notably, X achieved Y.	40	强调连接：每篇最多 1-2 次	distilled_physics		10.1038/s41377-025-02000-y, 10.1038/s41467-025-57304-9, 10.1038/s41467-022-29538-4
P3038	sentence	as a result, X reached Y.	69	因果连接 + 指标结果	distilled_physics		10.1038/s41467-025-65135-x, 10.1038/s43246-020-00084-0, 10.1038/s41467-024-55376-7
P3039	sentence	which is among the highest values reported for X.	20	最高级对比从句：必须挂引用或图表锚点	distilled_physics		10.1038/s41467-026-73911-6, 10.1038/s41467-025-57472-8, 10.1038/s43246-021-00203-5
P3100	methods	X films were deposited via radiofrequency (RF) magnetron sputtering from a Y-doped NiO (N at%) target at a constant power of N W.	2	sputtering deposition opener, full parameter chain	domain_seed_local		local:ph5c01512;local:el5c01793
P3101	methods	the substrate temperature was maintained at room temperature under an Ar-O2 atmosphere, with a total pressure of N mTorr.	1	sputtering ambient/pressure clause	domain_seed_local		local:ph5c01512
P3102	methods	the target was presputtered in an Ar atmosphere for N min to remove surface contaminants.	1	presputter clause	domain_seed_local		local:el5c01793
P3103	methods	PO2 was regulated to N%, N%, N%, and N% to optimize the oxygen-related defect density.	1	oxygen partial pressure series	domain_seed_local		local:el5c01793
P3104	methods	no post-deposition treatment was performed.	1	explicit no-anneal claim	domain_seed_local		local:ph5c01512
P3105	methods	ITO-coated glass substrates were ultrasonically cleaned with detergent, followed by sequential treatments with acetone, ethanol and distilled water.	1	substrate cleaning preamble	domain_seed_local		local:ph5c01512
