rule_id	category	description	paper_count	severity_votes	severity	exemplar_quote	primary_section	evidence	prior_row	top_papers
R028	abbreviation	abstract 内通常不用缩写（除非通用如 LED、OLED、EQE）；intro 之后可广泛使用	multi-paper		minor	These synergies enable perovskite light-emitting diodes (PeLEDs) with an external quantum efficiency (EQE) of 31.2% for pure-red emission at 635 nm, comparing favorably to other pure-red PeLEDs.		prior		
R029	figure_caption	"figure caption 第一句 = 概括整图核心信息（""Fig. 1 | Title-case headline of what is shown""）"	multi-paper		major			prior		
R030	figure_caption	caption 内嵌 panel labels (a, b, c) 对应图中标注；每个 panel 一句说明	multi-paper		major			prior		
R031	figure_caption	caption 末尾含 statistics（N devices、error bar 定义如 Error bars, s.d.）when relevant	multi-paper		minor	Error bars show the standard deviation of multiple independent devices.		prior		
R032	figure_caption	"avoid ""shown in figure"" / ""see figure"" 这类占位表达；caption 自解释"	multi-paper		minor			prior		
R033	methods_style	"methods 用过去式 + 第三人称/被动（""was measured"" / ""were collected""），不是 ""we measured"""	multi-paper		major	The SnO2 precursor was spin-coated at 4000 rpm for 30 s and annealed at 150 °C for 30 min.		prior		
R034	methods_style	方法描述给可重复细节：仪器型号、软件版本、参数、n、统计方法	multi-paper		major	The electroluminescence spectra were measured using a spectrometer (Ocean optics QE65000) and a Keithley 2400 source meter.		prior		
R035	methods_style	"统计方法先于结果；P 值给完整（""P = 0.003"" not ""P < 0.01"" if precise）"	multi-paper		minor	An EQE histogram for 70 devices shows an average EQE of 22.9% with a low relative standard deviation of 6.9% (Fig. 4e), demonstrating good reproducibility.		prior		
R037	data_statement	"data availability：必有 ""Data are available at ... / Data deposition: ... / Source data are provided with this paper."""	multi-paper		major			prior		
R038	data_statement	"code availability：custom code 必有 ""Custom code is available at ... / Code is deposited at ..."""	multi-paper		major			prior		
R039	data_statement	accession numbers 在 data/code availability 段集中列出，逗号分隔	multi-paper		minor			prior		
R040	title_craft	"title 长度 8-15 词，核心发现/对象在前，避免 ""Study of ..."" ""Investigation on ..."" ""Research on ..."""	multi-paper		major			prior		
R041	title_craft	副标题用冒号或介词短语，主标题是发现，副标题是对象/限定	multi-paper		major			prior		
R042	title_craft	"疑问句标题慎用，多用陈述句；Nature 接受 ""How does X?"" 但 Cell 偏好陈述"	multi-paper		minor			prior		
R043	hedging_red_flags	"黑名单（永远不在 Nature 用）：""obviously / clearly / undoubtedly / it goes without saying / needless to say"""	multi-paper		critical			prior		
R044	hedging_red_flags	"黑名单：避免 ""very / extremely / highly"" 等强化副词过度使用；用具体度量替代"	multi-paper		major			prior		
R045	hedging_red_flags	"黑名单：避免 ""novel"" 反复用（一篇文章最多 1 次，多用 ""previously uncharacterized""）"	multi-paper		major			prior		
R046	hedging_red_flags	"黑名单：避免 ""in this paper we"" / ""in this study we"" / ""the authors"""	multi-paper		critical			prior		
R047	hedging_red_flags	"黑名单：避免 ""It is important to note that"" / ""It should be noted that"" / ""It is worth mentioning that"""	multi-paper		critical			prior		
R048	hedging_red_flags	"黑名单：避免 ""we believe that"" / ""in our opinion"" / ""we think that"""	multi-paper		major			prior		
R049	hedging_red_flags	"黑名单：避免 ""due to the fact that"" / ""in spite of the fact that"" / ""owing to the fact that"""	multi-paper		major			prior		
R050	hedging_red_flags	"黑名单：避免 ""a large number of"" / ""the majority of"" / ""a great deal of"""	multi-paper		minor			prior		
R051	hedging_red_flags	"黑名单：避免 ""in order to""；用 ""to"""	multi-paper		minor			prior		
R052	hedging_red_flags	"黑名单：避免 ""we delve into"" / ""we navigate the complexities of"" / ""the intricate landscape of"""	multi-paper		critical			prior		
R053	hedging_red_flags	"黑名单：避免 ""in today's world"" / ""in the modern era"" / ""in contemporary society"""	multi-paper		critical			prior		
R054	hedging_red_flags	"黑名单：避免 ""plays a crucial role"" / ""plays a pivotal role"" / ""is of paramount importance"""	multi-paper		critical			prior		
R055	hedging_red_flags	"黑名单：避免 ""cutting-edge"" / ""state-of-the-art"" / ""groundbreaking"" / ""revolutionary"""	multi-paper		major			prior		
R056	hedging_red_flags	"黑名单：避免 ""shed light on"" / ""shed new light on"" / ""illuminate"" (overused)"	multi-paper		major			prior		
R057	hedging_red_flags	"黑名单：避免 ""fascinating"" / ""remarkable"" / ""stunning"" / ""surprising"" (情感形容词)"	multi-paper		major			prior		
R058	hedging_red_flags	"黑名单：避免 ""leverage"" (用作动词) / ""robust"" (用作通用形容)"	multi-paper		major			prior		
R059	hedging_red_flags	"黑名单：避免 ""dive into"" / ""explore the realm of"" / ""unpack the nuances"""	multi-paper		critical			prior		
R060	hedging_red_flags	"黑名单：避免 ""harness the power of"" / ""tapestry of"" / ""symphony of"""	multi-paper		critical			prior		
R2000	evidence_bound	Device statistics replace biological statistics in physics_optoelectronics: report average plus-minus s.d. over N devices, define error bars in the legend, state N; exact P values are uncommon in device papers and not required	28		major	With 30 devices being fabricated, the record high average EQE of 15.3 ± 1.0% has been reached, among which the maximum EQE 16.3% has approached nearly the theoretical limit of the currently prepared InP GQDs, having an emission quantum yield of 86%.	results	distilled_physics		10.1038/s43246-021-00203-5;10.1038/s41928-024-01181-5;10.1038/s41467-018-05760-x
R2001	numerals_notation	Device metric units: EQE (%), current efficiency (cd A⁻¹), luminance (cd m⁻²), turn-on voltage (V), emission peak and FWHM (nm), operational lifetime LT50/LT95/LT97 (h), current density (mA cm⁻²); superscripts use Unicode; percent attaches to the number (21.3%)	72		major	This device exhibits a low turn-on voltage of 1.7 V (2.4 cd m−2) and a peak external quantum efficiency (EQE) of 20.3%, corresponding to an internal quantum efficiency of ~81% (Fig. 4b).	results	distilled_physics		10.1038/s41467-020-15944-z;10.1038/ncomms15640;10.1038/s41467-025-57304-9
R2002	claim_grammar	Mechanism attribution register for device physics: attributed to / ascribed to / stems from / originates from (replaces biology register consistent with the notion); pair with device mechanisms: suppressed non-radiative recombination, balanced charge injection, passivated trap states	98		major	These improvements are mainly attributed to the enhanced hole injection contributed from the effective hole hopping and increased hole concentrations of HTL.	discussion	distilled_physics		10.1038/s43246-020-00084-0;10.1038/s41467-025-65135-x;10.1038/ncomms15640
R2003	methods_style	Device fabrication in past passive with layer-by-layer order (substrate, anode, ETL, emissive layer, HTL, cathode); give process parameters: spin speed, annealing temperature, atmosphere (N2 glovebox or ambient air)	94		major	ZnO nanoparticles of concentration 2% by weight were spin-coated onto ITO substrates at 2,000 r.p.m. for 30 s and then annealed at 150 °C for 15 min.	methods	distilled_physics		10.1038/ncomms15640;10.1038/s41467-019-08749-2;10.1038/s41467-024-55376-7
R2004	abbreviation	Materials notation: perovskite formula ABX3 (CsPbI3, FAPbBr3), core/shell notation (CdSe/ZnS), device abbreviations ETL/HTL/QLED/micro-LED/OLED introduced full-term-first with parenthetical abbreviation	65		minor	The industrialization of quantum dot light-emitting diodes (QLEDs) requires the use of less hazardous cadmium-free quantum dots, among which ZnSe-based blue and InP-based green and red quantum dots have received considerable attention.	methods	distilled_physics		10.1038/s43246-021-00203-5;10.1038/s41467-019-08749-2;10.1038/s41377-022-01036-8
R2005	hedge_calibration	Domain gap templates use noun-pair contrasts joined by en-dash (U+2013, allowed), never em-dash (U+2014, banned): the efficiency–stability trade-off; blue devices remain limited by short operational lifetime	5		major	This heterojunction breaks the fundamental trade-off between robustness and switching speed in conventional homojunctions and removes a key hurdle to advance ultra-wide bandgap semiconductor devices for power industrial applications.	abstract	distilled_physics		10.1038/s41467-023-40194-0;10.1038/s41467-026-74151-4;10.1038/s41467-022-29538-4
R2006	evidence_bound	Superlative performance claims (a record EQE, the highest reported) require a citation anchor; without one downgrade to among the highest reported values	51		major	After achieving more balanced carrier transport the constructed perovskite/organic tandem device exhibited a PCE of 26.05% with high operation stability (T₈₀ over 650 h) ranking among the highest performances in the perovskite/organic tandem photovoltaics.	results	distilled_physics		10.1038/s41467-025-58047-3;10.1038/s41467-023-35954-x;10.1038/s43246-020-00084-0
R2007	claim_grammar	Physics abstracts may close on the quantitative result (metric-anchored) instead of a framework sentence; prefer a concrete device outcome over generic significance claims	26		minor	Consequently, the interfacial potential-graded quantum dots demonstrate highly efficient green quantum dot light-emitting diodes, with a peak external quantum efficiency of 21.7% at 520 nm and a corresponding current efficiency of 75.7 cd A−1.	abstract	distilled_physics		10.1038/s41467-025-57304-9;10.1038/s41467-025-65135-x;10.1038/s41467-018-05760-x
R2008	register_tone	Domain-scoped blacklist exception: state-of-the-art performance is idiomatic in physics_optoelectronics, max once per paper; delve into / shed light on / plays a crucial role remain banned everywhere	31		minor	By integrating the dual-color (red/green) quantum dot color converter (QDCC) layer on a blue Micro-QLED panel, we further demonstrate full-color color-converted Micro-QLED displays achieving 1184 ppi resolution with a maximum brightness of 10 065 cd m−2 and a peak EQE of 4.8%, representing one of state-of-the-art performances in full-color Micro-QLED displays (Supplementary Table S2).		distilled_physics		10.1038/s41467-020-15944-z;10.1038/s41377-025-02000-y;10.1038/s41467-021-25955-z
R2009	figure_caption	Device figure legends cover structure schematic, EL spectra and J–V–L curves; statistics block reads Error bars, s.d.; N = X devices	6		major	All the error bars are presented as average values ± standard deviation (s.d.).	figure_caption	distilled_physics		10.1038/s41928-024-01181-5;10.1038/s41467-026-73911-6;10.1038/s41467-018-05760-x
R3000	methods_style	制备工艺句式：被动语态按沉积顺序逐层给出工艺参数（X was spin-coated at N r.p.m. for M s and annealed at T °C for K min）	44		major	The SnO2 precursor was spin-coated at 4000 rpm for 30 s and annealed at 150 °C for 30 min.	methods	distilled_physics		10.1038/s41467-018-07099-9, 10.1038/s41467-024-49574-6, 10.1038/s41467-026-69198-2
R3001	methods_style	气氛声明：溶液法制器件必须写明处理环境（the substrates were transferred into a nitrogen-filled glovebox / in ambient air）	42		major	The substrates were then transferred into a nitrogen-filled glovebox for perovskite deposition.	methods	distilled_physics		10.1038/s41467-019-13437-2, 10.1038/s41377-026-02246-0, 10.1038/s41467-022-32010-y
R3002	methods_style	电极与顶层沉积：热蒸发/蒸镀注明材料与厚度（X (~N nm) was deposited by thermal evaporation）	67		major	Then the samples were transferred to thermal evaporation equipment to deposit the electron-transport layers (C₆₀~ 20 nm).	methods	distilled_physics		10.1038/s41467-025-58047-3, 10.1038/s41586-023-05855-6, 10.1038/s41467-022-32010-y
R3003	evidence_bound	器件统计报告：EQE histogram over N devices + average ± s.d.（an average EQE of N% with a low relative standard deviation of M%）	26		major	The EQE histogram for 60 devices from five batches are presented, showing an average EQE of 13.1% with a low relative standard deviation of 4.4% (Fig. 4f).	results	distilled_physics		10.1038/s41467-018-02978-7, 10.1038/s41467-023-36118-7, 10.1038/s41467-025-63684-9
R3004	figure_caption	图注误差棒定义：Error bars show/represent the standard deviation of N (independent) devices	5		major	Error bars show the standard deviation of multiple independent devices.	figure_caption	distilled_physics		10.1038/s41467-026-73911-6, 10.1038/s41928-024-01181-5, 10.1038/s41467-024-45944-2
R3005	claim_grammar	指标组合报告句式：peak EQE of N% + maximum luminance of M cd m⁻²（+ low turn-on voltage of V）同句报告	34		major	This blue Micro-QLED device with a pixel of 12 μm × 12 μm has a peak EQE of 7.8% and a maximum luminance of 39,472 cd m−2.	results	distilled_physics		10.1038/s41377-025-02000-y, 10.1038/s41467-024-53965-0, 10.1038/s41467-025-59527-2
R3006	numerals_notation	器件单位规范：cd m⁻² / cd A⁻¹ / mA cm⁻² 用 Unicode 上标；百分号紧贴数字（an EQE of 21.3%）	42		minor	The MoO₃-based PeLED shows much higher current density (more than double increase from 5 to 8.5 V) and the maximum luminance is enhanced from 4000 to 14,700 cd m⁻², which is a 3.7 times improvement.	results	distilled_physics		10.1038/s43246-020-00084-0, 10.1038/s41467-020-16659-x, 10.1038/s41467-024-52401-7
R3007	evidence_bound	寿命报告格式：LT50/T95/T80 of N h at an initial luminance of L cd m⁻²，初始亮度 L0 必须写明	33		major	Meanwhile, these devices also exhibit an extended operational lifetime (LT80) of 446 h at an initial luminance of 1000 cd m−2.	results	distilled_physics		10.1038/s41467-024-52401-7, 10.1038/s41377-024-01727-4, 10.1038/s41467-024-50022-8
R3008	claim_grammar	champion device + certified 括注句式（a certified EQE/PCE of N%），认证值用括号紧跟自测值	22		major	The champion inverted device yields a high power conversion efficiency (PCE) of 26.53% (certified 26.02%).	results	distilled_physics		10.1038/s41467-024-55653-5, 10.1038/s41467-025-57746-1, 10.1038/s41467-026-71301-6
R3009	claim_grammar	摘要开篇句式：Here we report/show/demonstrate + 策略或对象（Here we report a X strategy to address these limitations）	22		major	Here we report a dual-strategy approach combining facet engineering and controlled surface oxidation to address these limitations.	abstract	distilled_physics		10.1038/s41377-025-01987-8, 10.1038/s41467-023-38216-y, 10.1038/s41467-021-24931-x
R3010	claim_grammar	摘要量化收尾：以器件指标句收尾（The devices retained N% of their initial efficiency after T hours），优于空泛 significance 声明	28		major	The ROI-SAM based devices retained 90% of their initial efficiency (T90) after about 1000 hours.	abstract	distilled_physics		10.1038/s41467-025-66421-4, 10.1038/s41467-026-72733-w, 10.1038/s41928-024-01205-0
R3011	hedge_calibration	物理 gap 句式：remains elusive/challenging/unclear + 具体物理对象（fabrication of X remains elusive），不用 nobody knows	17		major	Despite a decade of progress, fabrication of energy-efficient QLEDs with lighting-grade brightness remains elusive.	abstract	distilled_physics		10.1038/s41467-025-58471-5, 10.1038/s41467-020-16659-x, 10.1038/s41467-025-56987-4
R3012	hedge_calibration	物理 gap 句式：被动受限句（X has been hindered/limited by + 具体物理成因：defects、charge imbalance、short lifetime）	21		major	However their utilization in stretchable electronics has been hindered by the inherent rigidity and low fracture toughness.	introduction	distilled_physics		10.1038/s41467-024-47184-w, 10.1038/s41467-023-36118-7, 10.1038/s41467-025-59515-6
R3013	claim_grammar	机理归因句式：The improvement in X is attributed/ascribed to + 物理机制（reduced interfacial recombination、suppressed trap states）	56		major	The improvement in VOC, by 50 mV, is attributed to the reduced interfacial recombination.	discussion	distilled_physics		10.1038/s41467-019-13437-2, 10.1038/s41467-025-57200-2, 10.1038/s41467-019-08749-2
R3014	claim_grammar	机理词表：归因宾语用 non-radiative recombination / trap states / charge imbalance / energy level mismatch 等物理机制名词	48		major	The relatively large ideality factors suggest the presence of strong non-radiative recombination channels.	discussion	distilled_physics		10.1038/s41467-026-74151-4, 10.1038/s41467-025-64546-0, 10.1038/s41467-020-15481-9
R3015	evidence_bound	效率归因双因子：higher PLQY and better charge balance 联用解释 EQE 提升	18		minor	With higher PLQY and better charge balance, QLED with Zn(OA)2-QDs achieved the highest EQE of 16.6% (Fig. 5b).	discussion	distilled_physics		10.1038/s41467-020-15481-9, 10.1038/s41467-023-35954-x, 10.1038/s41467-020-15944-z
R3016	evidence_bound	J–V–L 图表引用规范：figure N shows the current density–voltage–luminance (J–V–L) characteristics，物理量连接符用 en-dash	55		major	Figure 4d is the current density-voltage-luminance (J-V-L) curve of QLED devices.	results	distilled_physics		10.1038/s41467-024-50022-8, 10.1038/s41467-023-43408-7, 10.1038/s41467-023-35954-x
R3017	methods_style	表征仪器句：写明 source meter / spectrometer / spectroradiometer 型号（measured with a Keithley 2400 source meter）	72		major	The current density–voltage–luminance (J–V–L) characteristics and electroluminescence spectra were measured with a source meter (2636B, Keithley) and spectroradiameter (SR-3AR, Topcon).	methods	distilled_physics		10.1038/s41467-023-43408-7, 10.1038/s41467-020-15481-9, 10.1038/s41377-022-00855-z
R3018	abbreviation	器件族缩写首现全称化：X light-emitting diodes (XLEDs)、electron-transport layer (ETL)、hole-transport layer (HTL)、ZnO nanoparticles (NPs)	53		major	Significant progress in QLED performance has been made since the introduction of ZnO nanoparticles (NPs) as the electron-transport layer (ETL).	introduction	distilled_physics		10.1038/s41377-025-01867-1, 10.1038/s41467-023-43340-w, 10.1038/s41467-024-50022-8
R3019	claim_grammar	最高级对比锚定：among the highest values reported for X + 图表/文献锚点；record/highest 必须挂引用	20		major	Specifically, the champion 1.68 eV inverted PSCs with LT-NiOₓ obtained a PCE of 24.15%, which is among the highest PCE values reported for 1.68 eV inverted PSCs up to now (Fig. 5c and Supplementary Table 3).	results	distilled_physics		10.1038/s41467-026-73911-6, 10.1038/s41467-025-57472-8, 10.1038/s41467-025-57304-9
R3020	register_tone	对比惯用句：compares favourably / comparing favorably with + 对比对象，建议挂数据表引用	2		minor	These synergies enable perovskite light-emitting diodes (PeLEDs) with an external quantum efficiency (EQE) of 31.2% for pure-red emission at 635 nm, comparing favorably to other pure-red PeLEDs.	results	distilled_physics		10.1038/s41377-026-02184-x, 10.1038/s41928-026-01670-9
R3021	evidence_bound	EL 光谱报告：emission peaks at N nm + CIE 1931 color coordinates + 图引用	9		major	Each device showed consistent green electroluminescence spectra with peaks at 514 nm and CIE 1931 color coordinates of (0.28, 0.64), as shown in Fig. 4d and Supplementary Fig. 11.	results	distilled_physics		10.1038/s41467-021-27652-3, 10.1038/s41467-023-43408-7, 10.1038/s41467-024-50022-8
R3022	paragraph_craft	intro 领域框架句：X (QLEDs) have emerged as ... for next-generation display and solid-state lighting，与缩写首现合并	7		major	Quantum-dot light-emitting diodes (QLEDs) have emerged as cost-effective and high-performance electroluminescent (EL) devices for next-generation display and solid-state lighting technologies.	introduction	distilled_physics		10.1038/s41467-023-43340-w, 10.1038/s41467-020-16659-x, 10.1038/s41467-023-35954-x
R3023	evidence_bound	可重复性声明挂 Supplementary 图表：(Supplementary Fig. N), confirming decent reproducibility	73		minor	Additionally, our devices achieved a peak EQE of 20.7% (Fig. 3f), and the analysis of 50 devices fabricated using the same procedures revealed an average EQE of 17.9% with a standard deviation of 2.6% (Supplementary Fig. 16), confirming decent reproducibility.	results	distilled_physics		10.1038/s41467-025-56557-8, 10.1038/s41467-024-50022-8, 10.1038/s41467-026-73911-6
R3100	methods_style	溅射制备在 Methods 用过去被动 + 完整工艺参数链：target 掺杂比与尺寸、RF power (W)、气氛与气体流量 (sccm)、working pressure (mTorr)、衬底温度、pre-sputter 时间；不得省略功率/气压	3		major	NiLiO films were deposited via radiofrequency (RF) magnetron sputtering from a Li-doped NiO (5 at%) target at a constant power of 50 W.	methods	domain_seed_local		local:ph5c01512;local:el5c01793
R3101	methods_style	共溅射/靶功率调制表述：给出每个靶的独立功率并解释其用于组分调节（0/3/6/9 W 梯度）	1		minor	For co-sputtered NiMgLiO films, the RF power applied to the MgO target was adjusted to 0, 3, 6, or 9 W.	methods	domain_seed_local		local:ph5c01512
R3102	methods_style	氧分压/气氛优化作为变量研究：PO2 regulated to 1%, 10%, 25%, 50% 列表式写法，后文跟性能对比	1		major	During deposition, the substrate temperature was maintained at room temperature; PO2 was regulated to 1%, 10%, 25%, and 50%; and working pressure was maintained at 5 mTorr.	methods	domain_seed_local		local:el5c01793
R3103	methods_style	衬底清洗与前处理在沉积前一句交代：ultrasonic cleaning 顺序 (detergent/acetone/ethanol/DI water) 或 presputter 去表面污染	2		minor	The NiO:Li target was presputtered in an Ar atmosphere for 2 min to remove surface contaminants.	methods	domain_seed_local		local:el5c01793;local:ph5c01512
R3104	evidence_bound	溅射层厚度必须给数值与表征来源（SEM cross-section 或 profilometer），写为 X nm in Figure SX	1		major	The SEM image shows the thickness of NiO:Li at PO2 = 50% is 60 nm in Figure S1.	methods	domain_seed_local		local:el5c01793
R3105	claim_grammar	无退火/无后处理作为工艺卖点时显式声明 No post-deposition treatment was performed，后在 Discussion 归因于溅射态缺陷少	1		minor	No post-deposition treatment was performed.	methods	domain_seed_local		local:ph5c01512
