section	pivot_word	template	occurrences	paper_count	top_papers	exemplar_quotes
introduction	while	As a result, the development of an emerging class of optical interconnects that can deliver ultra-high bandwidth density and ultra-low energy consumption, while being manufacturable and compatible with large-scale packaging, has become a critical enabler for the continued expansion of computing architectures,,.	1	1	10.1038/s41467-026-74151-4	As a result, the development of an emerging class of optical interconnects that can deliver ultra-high bandwidth density and ultra-low energy consumption, while being manufacturable and compatible with large-scale packaging, has become a critical enabler for the continued expansion of computing architectures,,.
introduction	however	However, the threshold current, thermal management requirements, and limited scalability restrict further improvements in energy efficiency and bandwidth density.	1	1	10.1038/s41467-026-74151-4	However, the threshold current, thermal management requirements, and limited scalability restrict further improvements in energy efficiency and bandwidth density.
introduction	yet	Yet, the reliance on external III–V lasers, together with complex coupling and heterogeneous integration processes, makes it challenging to meet the energy efficiency and packaging cost requirements for chip-level and board-level interconnects,.	1	1	10.1038/s41467-026-74151-4	Yet, the reliance on external III–V lasers, together with complex coupling and heterogeneous integration processes, makes it challenging to meet the energy efficiency and packaging cost requirements for chip-level and board-level interconnects,.
introduction	although	Although mature short-wavelength micro-LEDs currently dominate the field thanks to their high quantum efficiency, determining the optimal wavelength for a full-link system requires balancing several complex trade-offs.	1	1	10.1038/s41467-026-74151-4	Although mature short-wavelength micro-LEDs currently dominate the field thanks to their high quantum efficiency, determining the optimal wavelength for a full-link system requires balancing several complex trade-offs.
introduction	but	Such results not only surpass previously reported values for the modulation bandwidth and energy efficiency of InGaN-based yellow and red micro-LEDs but also establish a reliable device and system foundation for the development of next-generation optical interconnects with both high energy efficiency and high data rate.	1	1	10.1038/s41467-026-74151-4	Such results not only surpass previously reported values for the modulation bandwidth and energy efficiency of InGaN-based yellow and red micro-LEDs but also establish a reliable device and system foundation for the development of next-generation optical interconnects with both high energy efficiency and high data rate.
results	while	Figure #b presents a cross-sectional high-angle annular dark-field scanning transmission electron microscopy (HAADF-STEM) image of the complete epitaxial structure of the red micro-LED, while Fig. #c shows a magnified view of the MQWs region, and Fig. #d displays the corresponding energy-dispersive X-ray spectroscopy (EDS) mapping of indium distribution within the quantum wells.	1	1	10.1038/s41467-026-74151-4	Figure 1b presents a cross-sectional high-angle annular dark-field scanning transmission electron microscopy (HAADF-STEM) image of the complete epitaxial structure of the red micro-LED, while Fig. 1c shows a magnified view of the MQWs region, and Fig. 1d displays the corresponding energy-dispersive X-ray spectroscopy (EDS) mapping of indium distribution within the quantum wells.
results	however	Unlike the yellow micro-LEDs, however, the red devices exhibited an EQE recovery at medium-to-high current densities (~# A/cm²).	1	1	10.1038/s41467-026-74151-4	Unlike the yellow micro-LEDs, however, the red devices exhibited an EQE recovery at medium-to-high current densities (~300 A/cm²).
results	although	Although such color shifts are generally undesirable for display applications, they may open opportunities for single-device multi-wavelength operation.	1	1	10.1038/s41467-026-74151-4	Although such color shifts are generally undesirable for display applications, they may open opportunities for single-device multi-wavelength operation.
results	whereas	Clear differences in thermal behavior were observed between the two substrates: the temperature rises of the # μm diamond-substrate yellow and red devices were # °C and # °C, respectively, whereas the corresponding glass-substrate devices showed increases of # °C and # °C.	1	1	10.1038/s41467-026-74151-4	Clear differences in thermal behavior were observed between the two substrates: the temperature rises of the 20 μm diamond-substrate yellow and red devices were 6.6 °C and 6.7 °C, respectively, whereas the corresponding glass-substrate devices showed increases of 84.1 °C and 90.0 °C.
results	but	This confirms the heat accumulation effect in glass substrates: even at the same power density, larger devices operate at higher total input power, but the heat spreading is limited by the poor thermal conductivity of glass rather than by the mesa–substrate contact area.	1	1	10.1038/s41467-026-74151-4	This confirms the heat accumulation effect in glass substrates: even at the same power density, larger devices operate at higher total input power, but the heat spreading is limited by the poor thermal conductivity of glass rather than by the mesa–substrate contact area.
results	despite	As a result, larger devices exhibit higher temperature rises despite their larger mesa.	1	1	10.1038/s41467-026-74151-4	As a result, larger devices exhibit higher temperature rises despite their larger mesa.
results	nevertheless	Nevertheless, the extracted empirical parameters allow the establishment of a linear \(\varDelta T-P\) relationship based entirely on real-time experimental observations rather than numerical simulations or theoretical models, enabling prediction of device operation and maximum input power.	1	1	10.1038/s41467-026-74151-4	Nevertheless, the extracted empirical parameters allow the establishment of a linear \(\varDelta T-P\) relationship based entirely on real-time experimental observations rather than numerical simulations or theoretical models, enabling prediction of device operation and maximum input power.
methods	while	The underlying silicon was removed by immersing the wafer in #% KOH solution at # °C, exploiting the anisotropic etching characteristics of KOH to selectively undercut the pixel mesa while retaining silicon beneath the edge anchors as temporary supports.	1	1	10.1038/s41467-026-74151-4	The underlying silicon was removed by immersing the wafer in 20% KOH solution at 80 °C, exploiting the anisotropic etching characteristics of KOH to selectively undercut the pixel mesa while retaining silicon beneath the edge anchors as temporary supports.
abstract	however	However, a key mechanism of the operational degradation of organic light-emitting diodes has yet to be elucidated.	1	1	10.1038/s41467-023-43408-7	However, a key mechanism of the operational degradation of organic light-emitting diodes has yet to be elucidated.
introduction	despite	Despite these advantages, their operational stability is a critical problem.	1	1	10.1038/s41467-023-43408-7	Despite these advantages, their operational stability is a critical problem.
introduction	yet	In particular, the lifetime of blue PhOLEDs is approximately #–# times shorter than those of red and green PhOLEDs and is not yet satisfactory for commercialization.	1	1	10.1038/s41467-023-43408-7	In particular, the lifetime of blue PhOLEDs is approximately 10–40 times shorter than those of red and green PhOLEDs and is not yet satisfactory for commercialization.
introduction	although	Although these efforts substantially improved the lifespan of blue OLEDs, they still do not reach the desired level for commercialization, indicating that regulating the exciton concentration is not sufficient to eliminate all significant degradation reactions.	1	1	10.1038/s41467-023-43408-7	Although these efforts substantially improved the lifespan of blue OLEDs, they still do not reach the desired level for commercialization, indicating that regulating the exciton concentration is not sufficient to eliminate all significant degradation reactions.
introduction	while	While a high concentration of holes can instigate radical reactions, bond strength analysis indicates that most covalent bonds in OLED materials are weakened in the presence of electrons, whereas holes make them stronger except C–P bonds.	1	1	10.1038/s41467-023-43408-7	While a high concentration of holes can instigate radical reactions, bond strength analysis indicates that most covalent bonds in OLED materials are weakened in the presence of electrons, whereas holes make them stronger except C–P bonds.
introduction	however	However, whether TPA is indeed a key cause of the short lifetime of blue PhOLEDs under real operational conditions is still unclear because it has only been studied through model devices or computations.	1	1	10.1038/s41467-023-43408-7	However, whether TPA is indeed a key cause of the short lifetime of blue PhOLEDs under real operational conditions is still unclear because it has only been studied through model devices or computations.
results	although	Although each device has a similar peak emission wavelength, the overall emission spectra are different.	1	1	10.1038/s41467-023-43408-7	Although each device has a similar peak emission wavelength, the overall emission spectra are different.
results	however	However, making all individual conditions identical is impossible because the EODs have no hole injection, and more importantly PL and EL have different exciton density profiles inside the EML.	1	1	10.1038/s41467-023-43408-7	However, making all individual conditions identical is impossible because the EODs have no hole injection, and more importantly PL and EL have different exciton density profiles inside the EML.
results	nevertheless	Nevertheless, operating conditions can be controlled so that the impact of polarons and excitons on the device lifetime is similar in both setups.	1	1	10.1038/s41467-023-43408-7	Nevertheless, operating conditions can be controlled so that the impact of polarons and excitons on the device lifetime is similar in both setups.
results	whereas	Notably, for the exciton-only EOD, Emitter # has a longer lifetime (# h) than Emitter # (# h), whereas the WD lifetime of Emitter # (# h) is shorter than that of Emitter # (# h).	1	1	10.1038/s41467-023-43408-7	Notably, for the exciton-only EOD, Emitter 3 has a longer lifetime (7.5 h) than Emitter 1 (6.0 h), whereas the WD lifetime of Emitter 3 (2.5 h) is shorter than that of Emitter 1 (5.3 h).
results	but	For instance, the C–N bond length rarely changes with the additional electron, but the C–N bond is significantly weakened when its BDE becomes less than # kcal/mol.	1	1	10.1038/s41467-023-43408-7	For instance, the C–N bond length rarely changes with the additional electron, but the C–N bond is significantly weakened when its BDE becomes less than 30 kcal/mol.
results	while	Assigning all the degradation products is challenging because numerous reactions can occur while preparing the sample.	1	1	10.1038/s41467-023-43408-7	Assigning all the degradation products is challenging because numerous reactions can occur while preparing the sample.
discussion	but	Various practical solutions have been proposed to alleviate exciton-induced degradation, leading to substantial improvement of the lifespan of blue OLEDs, but it is far from the desired level for commercialization.	1	1	10.1038/s41467-023-43408-7	Various practical solutions have been proposed to alleviate exciton-induced degradation, leading to substantial improvement of the lifespan of blue OLEDs, but it is far from the desired level for commercialization.
introduction	however	However, compared with the typical two-component host–guest EML already adopted by industry, the additional matrices required in MCHF devices unavoidably increases the complexity of device fabrication.	1	1	10.1038/s41563-024-01812-4	However, compared with the typical two-component host–guest EML already adopted by industry, the additional matrices required in MCHF devices unavoidably increases the complexity of device fabrication.
introduction	although	Although Dexter transfer to terminal emitter triplets has been challenging to directly observe, it has been hypothesized to be highly disadvantageous in hyperfluorescent devices from both efficiency and stability perspectives.	1	1	10.1038/s41563-024-01812-4	Although Dexter transfer to terminal emitter triplets has been challenging to directly observe, it has been hypothesized to be highly disadvantageous in hyperfluorescent devices from both efficiency and stability perspectives.
results	while	To achieve efficient blue MFHF OLEDs, we sought to design emitters with structural and photophysical properties that promote singlet transfer via Förster resonant energy transfer (FRET) while suppressing Dexter transfer.	1	1	10.1038/s41563-024-01812-4	To achieve efficient blue MFHF OLEDs, we sought to design emitters with structural and photophysical properties that promote singlet transfer via Förster resonant energy transfer (FRET) while suppressing Dexter transfer.
results	despite	Despite high molecular weights (MW = #,#), NB-# and NB-# remain sufficiently volatile for processing via thermal evaporation (#–# °C at #−# mbar).	1	1	10.1038/s41563-024-01812-4	Despite high molecular weights (MW = 1,122), NB-1 and NB-2 remain sufficiently volatile for processing via thermal evaporation (240–260 °C at 10−7 mbar).
results	although	Additionally, although the shielding of emitters with side groups could lead to redshifted and broadened emission, we note that our design has a negligible effect on the mDICz core photophysics.	1	1	10.1038/s41563-024-01812-4	Additionally, although the shielding of emitters with side groups could lead to redshifted and broadened emission, we note that our design has a negligible effect on the mDICz core photophysics.
results	yet	Systems A and C are the first examples of blue narrowband MFHF OLEDs, which—to the best of our knowledge—display the highest EQEs and lowest CIExy coordinates yet reported for matrix-free systems.	1	1	10.1038/s41563-024-01812-4	Systems A and C are the first examples of blue narrowband MFHF OLEDs, which—to the best of our knowledge—display the highest EQEs and lowest CIExy coordinates yet reported for matrix-free systems.
results	whereas	In a toluene solution, NB-# and NB-# display very similar spectra: photoinduced absorption (PIA) centred at around # nm, which decays with a lifetime of around # ns, is assigned to S# → Sn, whereas a slower-rising PIA centred between # and # nm with a lifetime of tens of microseconds and clear oxygen quenching is assigned to T# → Tn.	1	1	10.1038/s41563-024-01812-4	In a toluene solution, NB-1 and NB-3 display very similar spectra: photoinduced absorption (PIA) centred at around 480 nm, which decays with a lifetime of around 10 ns, is assigned to S1 → Sn, whereas a slower-rising PIA centred between 540 and 560 nm with a lifetime of tens of microseconds and clear oxygen quenching is assigned to T1 → Tn.
methods	whereas	For the ultrafast TA measurements, a portion of the laser fundamental was frequency doubled using a #-mm-thick β-barium borate crystal for sample excitation at # nm, whereas the third harmonic (# nm) of an electronically triggered, Q-switched Nd:YVO# laser (Innolas Picolo #) provided the ~# ns pump pulses for the nanosecond–microsecond (# ns to # μs) TA measurements.	1	1	10.1038/s41563-024-01812-4	For the ultrafast TA measurements, a portion of the laser fundamental was frequency doubled using a 1-mm-thick β-barium borate crystal for sample excitation at 400 nm, whereas the third harmonic (355 nm) of an electronically triggered, Q-switched Nd:YVO4 laser (Innolas Picolo 25) provided the ~1 ns pump pulses for the nanosecond–microsecond (1 ns to 100 μs) TA measurements.
introduction	despite	Despite the success in making commercial red, yellow and green emitters, blue Ph-OLEDs have traditionally faced challenges in terms of efficiency, stability, and brightness, making it essential to address these issues to meet the demands of next-generation high-end display applications.	1	1	10.1038/s41377-025-01817-x	Despite the success in making commercial red, yellow and green emitters, blue Ph-OLEDs have traditionally faced challenges in terms of efficiency, stability, and brightness, making it essential to address these issues to meet the demands of next-generation high-end display applications.
introduction	while	While Ph-OLEDs based on Ir(III) complexes have demonstrated high efficiency, the challenge of efficiency roll-off at high brightness remains.	1	1	10.1038/s41377-025-01817-x	While Ph-OLEDs based on Ir(III) complexes have demonstrated high efficiency, the challenge of efficiency roll-off at high brightness remains.
introduction	however	However, high efficiency and high luminance usually cause serious reduction in device operation lifetimes.	1	1	10.1038/s41377-025-01817-x	However, high efficiency and high luminance usually cause serious reduction in device operation lifetimes.
results	while	The tridentate ligand such as bicarbene pincer ligand #,#′-(#,#-phenylene)bis(#-butyl-#H-imidazol-#-ium) dibromide (pbib) has been employed to raise the energy level of the triplet metal-centered state (#MC) states while stabilizing the filled dπ orbital and strengthening the bond dissociation energy.	1	1	10.1038/s41377-025-01817-x	The tridentate ligand such as bicarbene pincer ligand 1,1′-(1,3-phenylene)bis(3-butyl-1H-imidazol-3-ium) dibromide (pbib) has been employed to raise the energy level of the triplet metal-centered state (3MC) states while stabilizing the filled dπ orbital and strengthening the bond dissociation energy.
results	but	As for the triplet spin density (TSD) simulation, the TSD of m-CF# and p-CF# revealed the strong association from the bidentate ligand and Ir(III) metal center, but with a minimal contribution from the cyano (CN) group.	1	1	10.1038/s41377-025-01817-x	As for the triplet spin density (TSD) simulation, the TSD of m-CF3 and p-CF3 revealed the strong association from the bidentate ligand and Ir(III) metal center, but with a minimal contribution from the cyano (CN) group.
results	yet	Yet now, tBuCz-m-CF# and tBuCz-p-CF# depicted a higher PLQY in solid state, which could be due to the bulky tBuCz group introduces significant steric hindrance, reducing the likelihood of intermolecular interactions that can lead to non-radiative decay.	1	1	10.1038/s41377-025-01817-x	Yet now, tBuCz-m-CF3 and tBuCz-p-CF3 depicted a higher PLQY in solid state, which could be due to the bulky tBuCz group introduces significant steric hindrance, reducing the likelihood of intermolecular interactions that can lead to non-radiative decay.
results	despite	Despite the high measured value of n based on tBuCz-m-CF# at # as depicted in Fig.	1	1	10.1038/s41377-025-01817-x	Despite the high measured value of n based on tBuCz-m-CF3 at 1.95 as depicted in Fig.
