from_section	to_section	pattern	occurrences	paper_count	top_papers	exemplar_quotes
abstract	introduction	In the post-Moore era, the growth of computing performance is increasingly constrained by factors beyond raw processing power, including the I/O wall and memory wall caused by the separation of computation and memory, as well as the limited edge bandwidth density,.	1	1	10.1038/s41467-026-74151-4	In the post-Moore era, the growth of computing performance is increasingly constrained by factors beyond raw processing power, including the I/O wall and memory wall caused by the separation of computation and memory, as well as the limited edge bandwidth density,.
introduction	results	The schematic of the epitaxial structure for long-wavelength InGaN-based micro-LEDs on silicon substrates is shown in Fig. #a, where yellow and red micro-LEDs adopt similar designs.	1	1	10.1038/s41467-026-74151-4	The schematic of the epitaxial structure for long-wavelength InGaN-based micro-LEDs on silicon substrates is shown in Fig. 1a, where yellow and red micro-LEDs adopt similar designs.
results	methods	The yellow and red micro-LEDs for transfer printing shared a similar epitaxial structure, grown by MOCVD on #-inch Si (#) substrates.	1	1	10.1038/s41467-026-74151-4	The yellow and red micro-LEDs for transfer printing shared a similar epitaxial structure, grown by MOCVD on 4-inch Si (111) substrates.
abstract	introduction	Phosphorescent organic light-emitting diodes (PhOLEDs) are widely used in display and lighting applications due to their low power consumption and high brightness.	1	1	10.1038/s41467-023-43408-7	Phosphorescent organic light-emitting diodes (PhOLEDs) are widely used in display and lighting applications due to their low power consumption and high brightness.
introduction	results	To investigate key factors of the short lifetime of blue OLEDs under real operational conditions, we prepared three experimental setups.	1	1	10.1038/s41467-023-43408-7	To investigate key factors of the short lifetime of blue OLEDs under real operational conditions, we prepared three experimental setups.
results	discussion	Increasing the lifetime of blue OLED devices is a difficult problem because highly energetic excitons can cause various degradation reactions.	1	1	10.1038/s41467-023-43408-7	Increasing the lifetime of blue OLED devices is a difficult problem because highly energetic excitons can cause various degradation reactions.
discussion	methods	Pre-patterned # nm-thick ITO-glass substrates were treated with wet cleaning (acetone, isopropyl alcohol, and deionized water) and dry cleaning (UV-ozone treatment) processes.	1	1	10.1038/s41467-023-43408-7	Pre-patterned 150 nm-thick ITO-glass substrates were treated with wet cleaning (acetone, isopropyl alcohol, and deionized water) and dry cleaning (UV-ozone treatment) processes.
abstract	introduction	The 'blue OLED problem'—the quest for a stable and efficient blue organic light-emitting diode (OLED), has plagued academic and industrial researchers alike for over # years.	1	1	10.1038/s41563-024-01812-4	The 'blue OLED problem'—the quest for a stable and efficient blue organic light-emitting diode (OLED), has plagued academic and industrial researchers alike for over 20 years.
introduction	results	The design and syntheses of new terminal emitters NB-# and NB-# are illustrated in Fig. #	1	1	10.1038/s41563-024-01812-4	The design and syntheses of new terminal emitters NB-1 and NB-2 are illustrated in Fig. 1.
results	discussion	Current blue hyperfluorescence technology requires OLEDs with complex EMLs of at least three components—a TADF sensitizer, narrowband emitter guest and wide-gap matrix (matrices).	1	1	10.1038/s41563-024-01812-4	Current blue hyperfluorescence technology requires OLEDs with complex EMLs of at least three components—a TADF sensitizer, narrowband emitter guest and wide-gap matrix (matrices).
discussion	methods	Supplementary Note # discusses the synthesis routes of NB-#, NB-#, NB-# and En-Per.	1	1	10.1038/s41563-024-01812-4	Supplementary Note 1 discusses the synthesis routes of NB-1, NB-2, NB-3 and En-Per.
abstract	introduction	Organic light-emitting diodes (OLEDs) have been ubiquitous in various modern technologies such as smartphones, watches and televisions due to their advantages such as high resolution, high color quality, fast response time, energy efficiency and flexibility.	1	1	10.1038/s41377-025-01817-x	Organic light-emitting diodes (OLEDs) have been ubiquitous in various modern technologies such as smartphones, watches and televisions due to their advantages such as high resolution, high color quality, fast response time, energy efficiency and flexibility.
introduction	results	Most of the neutral Ir(III) complexes are designed as the [# + # + #]- and [# + #]-types, featuring an iridium metal center configuration that provides rigidity and durability in OLED application.	1	1	10.1038/s41377-025-01817-x	Most of the neutral Ir(III) complexes are designed as the [2 + 2 + 2]- and [3 + 3]-types, featuring an iridium metal center configuration that provides rigidity and durability in OLED application.
results	discussion	Efficiency and operational lifetime are critical factors for the commercial success of blue phosphorescent OLEDs (Ph-OLEDs).	1	1	10.1038/s41377-025-01817-x	Efficiency and operational lifetime are critical factors for the commercial success of blue phosphorescent OLEDs (Ph-OLEDs).
discussion	methods	All commercially available reagents were used directly without further purification.	1	1	10.1038/s41377-025-01817-x	All commercially available reagents were used directly without further purification.
abstract	introduction	Metal halide perovskites (MHPs) are potential materials for next-generation light-emitting diodes (LEDs) because of their excellent properties, such as adjustable band gap, high color purity, high photoluminescence quantum yield (PLQY) and cost-effective solution process.	1	1	10.1038/s41467-024-50022-8	Metal halide perovskites (MHPs) are potential materials for next-generation light-emitting diodes (LEDs) because of their excellent properties, such as adjustable band gap, high color purity, high photoluminescence quantum yield (PLQY) and cost-effective solution process.
introduction	results	In-situ PL spectroscopy studies the PL evolution of QDs nucleation and growth (Fig. #b).	1	1	10.1038/s41467-024-50022-8	In-situ PL spectroscopy studies the PL evolution of QDs nucleation and growth (Fig. 1b).
results	discussion	In conclusion, we have developed an effective strategy to realize stable and efficient strong confined pure phase perovskite QDs.	1	1	10.1038/s41467-024-50022-8	In conclusion, we have developed an effective strategy to realize stable and efficient strong confined pure phase perovskite QDs.
discussion	methods	Lead iodide (PbI#, Macklin, #%), zinc iodide (ZnI#, Aladdin, #%), cesium carbonate (Cs#CO#, Sigma-Aldrich), Octadecene (ODE, Sigma-Aldrich, #%), oleic acid (OA, Sigma-Aldrich, #%), oleylamine (OAm, Aladdin, #%), n-hexane (Aladdin, #%), n-octane (Aladdin, #%), methyl acetate (Sinopharm Chemical Reagent Co., Ltd. (SCRC), #%), ethyl acetate (Aladdin, #%), #-naphthalenesulfonic acid (NSA, SCRC, #%), ammonium hexafluorophosphate (NH#PF#, Sigma-Aldrich, #%), poly(#,#-ethylenedioxythiophene) polystyrene sulfonate (PEDOT: PSS, #, Xi’an Polymer Light Technology Corp.), poly[bis(#-phenyl)(#,#,#-trimethylphenyl)amine](PTAA, Lingzhi Technology Co., Ltd.), #,#,#-tris[#-(diphenylphosphinyl)phenyl]−#,#,#-triazine (PO-T#T, Xi’an Polymer Light Technology Corp.), #,#′-[#′-[#-(#-pyridinyl)phenyl][#,#’:#′,#”-terphenyl]−#,#”-diyl]bispyridine (TmPyPB, Xi’an Polymer Light Technology Corp.), lithium fluoride (LiF, Xi’an Polymer Light Technology Corp., #%), which were directly used.	1	1	10.1038/s41467-024-50022-8	Lead iodide (PbI2, Macklin, 99.999%), zinc iodide (ZnI2, Aladdin, 99.999%), cesium carbonate (Cs2CO3, Sigma-Aldrich), Octadecene (ODE, Sigma-Aldrich, 90%), oleic acid (OA, Sigma-Aldrich, 90%), oleylamine (OAm, Aladdin, 90%), n-hexane (Aladdin, 98%), n-octane (Aladdin, 99%), methyl acetate (Sinopharm Chemical Reagent Co., Ltd. (SCRC), 98%), ethyl acetate (Aladdin, 99.9%), 2-naphthalenesulfonic acid (NSA, SCRC, 98%), ammonium hexafluorophosphate (NH4PF6, Sigma-Aldrich, 99.999%), poly(3,4-ethylenedioxythiophene) polystyrene sulfonate (PEDOT: PSS, 4083, Xi’an Polymer Light Technology Corp.), poly[bis(4-phenyl)(2,4,6-trimethylphenyl)amine](PTAA, Lingzhi Technology Co., Ltd.), 2,4,6-tris[3-(diphenylphosphinyl)phenyl]−1,3,5-triazine (PO-T2T, Xi’an Polymer Light Technology Corp.), 3,3′-[5′-[3-(3-pyridinyl)phenyl][1,1’:3′,1”-terphenyl]−3,3”-diyl]bispyridine (TmPyPB, Xi’an Polymer Light Technology Corp.), lithium fluoride (LiF, Xi’an Polymer Light Technology Corp., 99.9%), which were directly used.
abstract	introduction	Metal halide perovskite light-emitting diodes (PeLEDs) have emerged as promising candidates for next-generation high-definition displays due to their wide color gamut and narrow full-width-at-half-maximum (FWHM).	1	1	10.1038/s41377-025-02019-1	Metal halide perovskite light-emitting diodes (PeLEDs) have emerged as promising candidates for next-generation high-definition displays due to their wide color gamut and narrow full-width-at-half-maximum (FWHM).
introduction	results	Blue CsPbBr# NPLs were synthesized using a modified thermal injection method with OA and OAm as capping ligands (details are provided in the experimental section).	1	1	10.1038/s41377-025-02019-1	Blue CsPbBr3 NPLs were synthesized using a modified thermal injection method with OA and OAm as capping ligands (details are provided in the experimental section).
results	discussion	In summary, we have developed efficient deep-blue PeLEDs based on colloidal CsPbBr# NPLs that meet the stringent Rec.# color standard, enabled by an acid-assisted short-chain ligand passivation strategy.	1	1	10.1038/s41377-025-02019-1	In summary, we have developed efficient deep-blue PeLEDs based on colloidal CsPbBr3 NPLs that meet the stringent Rec.2020 color standard, enabled by an acid-assisted short-chain ligand passivation strategy.
abstract	introduction	Perovskite quantum dot light-emitting diodes (QLEDs) have made impressive progress for the past few years, achieving external quantum efficiencies (EQEs) of over #% and exhibiting great potential in optoelectronic applications.	1	1	10.1038/s41467-025-63684-9	Perovskite quantum dot light-emitting diodes (QLEDs) have made impressive progress for the past few years, achieving external quantum efficiencies (EQEs) of over 25% and exhibiting great potential in optoelectronic applications.
introduction	results	We first conducted a precise molecule design to match the molecular anchor and perovskite lattice accurately.	1	1	10.1038/s41467-025-63684-9	We first conducted a precise molecule design to match the molecular anchor and perovskite lattice accurately.
results	discussion	In summary, we have proposed a lattice-matched multi-site anchoring strategy by using TMeOPPO-p for high-efficiency and stable QLEDs.	1	1	10.1038/s41467-025-63684-9	In summary, we have proposed a lattice-matched multi-site anchoring strategy by using TMeOPPO-p for high-efficiency and stable QLEDs.
discussion	methods	oleyl amine (OAm, #~#% purity), oleic acid (OA, #~#% purity), #-octadecene (ODE, >#% purity), isopropanol (#% purity), ethyl acetate (#% purity) and toluene (≥#% purity) were supplied by Aladdin.	1	1	10.1038/s41467-025-63684-9	oleyl amine (OAm, 80~90% purity), oleic acid (OA, 80~90% purity), 1-octadecene (ODE, >80% purity), isopropanol (99.7% purity), ethyl acetate (99% purity) and toluene (≥99.5% purity) were supplied by Aladdin.
abstract	introduction	Direct emission of circularly polarized light (CPL) by circularly polarized light-emitting diodes (CP-LEDs) with chiral materials is highly desirable for three-dimensional displays, quantum information processing, and other applications.	1	1	10.1038/s41467-025-57472-8	Direct emission of circularly polarized light (CPL) by circularly polarized light-emitting diodes (CP-LEDs) with chiral materials is highly desirable for three-dimensional displays, quantum information processing, and other applications.
introduction	results	Ligand exchange strategies have demonstrated their capabilities in realizing high-quality PQDs and high-performance optoelectronics, providing feasibility to the synthesis of ready-to-use chiral PQDs that are compatible with the fabrication of spin-LEDs (Supplementary Note #).	1	1	10.1038/s41467-025-57472-8	Ligand exchange strategies have demonstrated their capabilities in realizing high-quality PQDs and high-performance optoelectronics, providing feasibility to the synthesis of ready-to-use chiral PQDs that are compatible with the fabrication of spin-LEDs (Supplementary Note 3).
results	methods	Lead bromide (PbBr#, #%), lead chloride (PbCl#, #%), lead iodide (PbI#, #%), cesium carbonate (Cs#CO#, #%), octadecene (#-ODE, ≥#%), Chlorobenzene (CB, #%) methyl acetate (MeOAc, ≥#%) were purchased from Macklin Biochemical.	1	1	10.1038/s41467-025-57472-8	Lead bromide (PbBr2, 99.99%), lead chloride (PbCl2, 99.99%), lead iodide (PbI2, 99.99%), cesium carbonate (Cs2CO3, 99.99%), octadecene (1-ODE, ≥95%), Chlorobenzene (CB, 99%) methyl acetate (MeOAc, ≥99%) were purchased from Macklin Biochemical.
abstract	introduction	In recent years, perovskite light-emitting diodes (PeLEDs) have emerged as promising next-generation display technology, owing to their wide color gamut, tunable emission wavelengths, and cost-effectiveness in terms of materials and manufacturing.	1	1	10.1038/s41377-025-01740-1	In recent years, perovskite light-emitting diodes (PeLEDs) have emerged as promising next-generation display technology, owing to their wide color gamut, tunable emission wavelengths, and cost-effectiveness in terms of materials and manufacturing.
introduction	results	The tri-source co-evaporation of CsBr, PbI#, and ligand is shown schematically in Fig. #a.	1	1	10.1038/s41377-025-01740-1	The tri-source co-evaporation of CsBr, PbI2, and ligand is shown schematically in Fig. 1a.
results	discussion	In summary, we demonstrate the ligand design strategy to passivate defects and boost carrier radiative recombination in vacuum-deposited perovskites to enable efficient vacuum-deposited pure red PeLEDs.	1	1	10.1038/s41377-025-01740-1	In summary, we demonstrate the ligand design strategy to passivate defects and boost carrier radiative recombination in vacuum-deposited perovskites to enable efficient vacuum-deposited pure red PeLEDs.
abstract	introduction	Perovskite quantum dots (QDs) have been regarded as star materials for new generation high-definition (HD) displays because of their narrow emission spectra (full width at half maximum (FWHM) < # nm), high defect tolerance, and facile solution processability.	1	1	10.1038/s41377-026-02231-7	Perovskite quantum dots (QDs) have been regarded as star materials for new generation high-definition (HD) displays because of their narrow emission spectra (full width at half maximum (FWHM) < 35 nm), high defect tolerance, and facile solution processability.
introduction	results	We synthesized pure-bromide QDs with strong quantum confinement by reducing their size, thereby ensuring that the emission color coordinates fall within the Rec. # blue region.	1	1	10.1038/s41377-026-02231-7	We synthesized pure-bromide QDs with strong quantum confinement by reducing their size, thereby ensuring that the emission color coordinates fall within the Rec. 2020 blue region.
results	discussion	We demonstrate that a multifunctional molecule effectively stabilizes perovskite QD surfaces, simultaneously addressing carrier trapping, interdot coupling, and Auger recombination—key challenges limiting blue perovskite QLED performance.	1	1	10.1038/s41377-026-02231-7	We demonstrate that a multifunctional molecule effectively stabilizes perovskite QD surfaces, simultaneously addressing carrier trapping, interdot coupling, and Auger recombination—key challenges limiting blue perovskite QLED performance.
abstract	introduction	Perovskite quantum dots (QDs) show great promise for ultra-high-definition display applications due to their broad colour gamut coverage, high photoluminescence quantum yields (PLQYs), and narrow emission spectra.	1	1	10.1038/s41377-026-02247-z	Perovskite quantum dots (QDs) show great promise for ultra-high-definition display applications due to their broad colour gamut coverage, high photoluminescence quantum yields (PLQYs), and narrow emission spectra.
introduction	results	We synthesised FAPbBr# QDs in dimethyl formamide (DMF) with or without ion-pair pinning via a modified ligand-assisted reprecipitation (LARP) method under ambient conditions (# ± # °C, #% relative humidity), as detailed in the “Methods”.	1	1	10.1038/s41377-026-02247-z	We synthesised FAPbBr3 QDs in dimethyl formamide (DMF) with or without ion-pair pinning via a modified ligand-assisted reprecipitation (LARP) method under ambient conditions (25 ± 2 °C, 25% relative humidity), as detailed in the “Methods”.
results	discussion	In summary, we developed an ion-pair pinning strategy by adding TBAOTf into the perovskite precursor solutions to enhance the optoelectronic performance of air-processed FAPbBr# QD films.	1	1	10.1038/s41377-026-02247-z	In summary, we developed an ion-pair pinning strategy by adding TBAOTf into the perovskite precursor solutions to enhance the optoelectronic performance of air-processed FAPbBr3 QD films.
abstract	introduction	Metal halide perovskite semiconductors have emerged as promising candidates for next-generation light-emitting sources, offering exceptional color purity, solution processability, and high photoluminescence quantum yields (PLQYs).	1	1	10.1038/s41377-026-02184-x	Metal halide perovskite semiconductors have emerged as promising candidates for next-generation light-emitting sources, offering exceptional color purity, solution processability, and high photoluminescence quantum yields (PLQYs).
introduction	results	We proposed that ligand engineering offers a promising strategy for modulating crystal morphology in perovskites by influencing crystallization kinetics and reducing the energy barrier for nanosheet formation.	1	1	10.1038/s41377-026-02184-x	We proposed that ligand engineering offers a promising strategy for modulating crystal morphology in perovskites by influencing crystallization kinetics and reducing the energy barrier for nanosheet formation.
results	discussion	This work achieved a breakthrough in light-emissive materials by demonstrating the in situ formation of oriented perovskite nanosheets through ligand engineering.	1	1	10.1038/s41377-026-02184-x	This work achieved a breakthrough in light-emissive materials by demonstrating the in situ formation of oriented perovskite nanosheets through ligand engineering.
abstract	introduction	Quantum dot light-emitting diodes (QLEDs) have received considerable attention during these years due to their extraordinary color purity reliability cost-effectiveness and efficiency.	1	1	10.1038/s41377-022-00855-z	Quantum dot light-emitting diodes (QLEDs) have received considerable attention during these years due to their extraordinary color purity reliability cost-effectiveness and efficiency.
introduction	results	The environmental phosphorus of (DMA)₃P was employed in the synthesis of InP-based QDs in consideration of the safety and the cost.	1	1	10.1038/s41377-022-00855-z	The environmental phosphorus of (DMA)₃P was employed in the synthesis of InP-based QDs in consideration of the safety and the cost.
results	discussion	In conclusion we obtained the highly efficient green-emitting InP/ZnSexS₁₋x/ZnS QDs based on an environmental phosphorus of (DMA)₃P.	1	1	10.1038/s41377-022-00855-z	In conclusion we obtained the highly efficient green-emitting InP/ZnSexS₁₋x/ZnS QDs based on an environmental phosphorus of (DMA)₃P.
discussion	methods	Indium chloride (InCl₃) zinc chloride (ZnCl₂) zinc iodide (ZnI₂) zinc acetate (Zn(OAc)₂) sulfur powder (S) selenium powder (Se) trioctylphosphine (TOP) oleylamine (OLA) zinc stearate (Zn(st)₂) #-octadecene (ODE) #-dodecanethiol (DDT) tris[#-(diphenylphosphino)ethyl]phosphine were purchased from Aladdin.	1	1	10.1038/s41377-022-00855-z	Indium chloride (InCl₃) zinc chloride (ZnCl₂) zinc iodide (ZnI₂) zinc acetate (Zn(OAc)₂) sulfur powder (S) selenium powder (Se) trioctylphosphine (TOP) oleylamine (OLA) zinc stearate (Zn(st)₂) 1-octadecene (ODE) 1-dodecanethiol (DDT) tris[2-(diphenylphosphino)ethyl]phosphine were purchased from Aladdin.
abstract	introduction	Colloidal semiconductor quantum dots (QDs) such as IIVI QDs IIIV QDs and metal-halide perovskite QDs feature tunable bandgaps narrowband emission high photoluminescent quantum yields (PLQYs) and excellent solution processibility.	1	1	10.1038/s41467-023-43340-w	Colloidal semiconductor quantum dots (QDs) such as IIVI QDs IIIV QDs and metal-halide perovskite QDs feature tunable bandgaps narrowband emission high photoluminescent quantum yields (PLQYs) and excellent solution processibility.
introduction	results	Efficiency elevation of the shelf-stable QLEDs	1	1	10.1038/s41467-023-43340-w	Efficiency elevation of the shelf-stable QLEDs
results	discussion	We summarize the key changes of charge dynamics that account for the efficiency elevation of the QLED (Fig. #).	1	1	10.1038/s41467-023-43340-w	We summarize the key changes of charge dynamics that account for the efficiency elevation of the QLED (Fig. 6).
discussion	methods	TFB (average molecular weight ~#,# g mol⁻¹) was purchased from American Dye Source.	1	1	10.1038/s41467-023-43340-w	TFB (average molecular weight ~90,000 g mol⁻¹) was purchased from American Dye Source.
abstract	introduction	Printed display technologies based on solution-processable electroluminescent materials feature low-cost and scalable manufacturing on flexible substrates.	1	1	10.1038/s41467-023-35954-x	Printed display technologies based on solution-processable electroluminescent materials feature low-cost and scalable manufacturing on flexible substrates.
introduction	results	Charge-induced degradation of state-of-the-art blue QDs	1	1	10.1038/s41467-023-35954-x	Charge-induced degradation of state-of-the-art blue QDs
results	methods	Zinc acetate (#% trace metals basis) oleic acid (technical grade #%) #-octadecene (ODE #%) and Trioctylphosphine (TOP #%) were purchased from Sigma-Aldrich.	1	1	10.1038/s41467-023-35954-x	Zinc acetate (99.99 % trace metals basis) oleic acid (technical grade 90%) 1-octadecene (ODE 90%) and Trioctylphosphine (TOP 90%) were purchased from Sigma-Aldrich.
abstract	introduction	Electrically pumped lasers or laser diodes based on solution-processable materials have long been desired devices for their compatibility with virtually any substrate scalability and ease of integration with on-chip photonics and electronics.	1	1	10.1038/s41586-023-05855-6	Electrically pumped lasers or laser diodes based on solution-processable materials have long been desired devices for their compatibility with virtually any substrate scalability and ease of integration with on-chip photonics and electronics.
introduction	results	In this study we use an optical gain medium based on a revised version of continuously graded QDs (cg-QDs) which are similar to our previously introduced CdSe/Cd₁₋xZnxSe cg-QDs but feature a reduced thickness of the graded layer.	1	1	10.1038/s41586-023-05855-6	In this study we use an optical gain medium based on a revised version of continuously graded QDs (cg-QDs) which are similar to our previously introduced CdSe/Cd₁₋xZnxSe cg-QDs but feature a reduced thickness of the graded layer.
results	discussion	In conclusion we demonstrate #S and #P ASE with an electrically excited gain medium made of solution-cast colloidal QDs.	1	1	10.1038/s41586-023-05855-6	In conclusion we demonstrate 1S and 1P ASE with an electrically excited gain medium made of solution-cast colloidal QDs.
discussion	methods	Cadmium acetate dihydrate (Cd(CH₃COO)₂·#H₂O #%) zinc acetate dihydrate (Zn(CH₃COO)₂·#H₂O #%) selenium (shot #–# mm #%) and sulfur (#%) were purchased from Alfa Aesar.	1	1	10.1038/s41586-023-05855-6	Cadmium acetate dihydrate (Cd(CH₃COO)₂·2H₂O 98%) zinc acetate dihydrate (Zn(CH₃COO)₂·2H₂O 99.99%) selenium (shot 2–6 mm 99.998%) and sulfur (99.999%) were purchased from Alfa Aesar.
abstract	introduction	With excellent color rendering and cost-effective solution processability quantum-dot light-emitting diodes (QD-LEDs) are attractive light sources for next-generation solid-state lighting and display technologies.	1	1	10.1038/s41467-024-44894-z	With excellent color rendering and cost-effective solution processability quantum-dot light-emitting diodes (QD-LEDs) are attractive light sources for next-generation solid-state lighting and display technologies.
introduction	results	Device design by inserting an anti-oxidation transition layer	1	1	10.1038/s41467-024-44894-z	Device design by inserting an anti-oxidation transition layer
results	methods	Cadmium oxide (CdO #% powder) zinc oxide (ZnO #% powder) sulfur (S #% powder) oleic acid (OA #%) #-octanethiol (OT #%) #-octadecene (ODE #%) zinc acetate (Zn(OA)₂, #%) dimethyl sulfoxide (DMSO #%) tetramethylammoniumhydroxide (TMAH #%) chlorobenzene (#%) magnesium acetate tetrahydrate (Mg(OAc)₂·#H₂O #%) zinc(II) acetate dihydrate (Zn(OAc)₂·#H₂O #%) paraffin oil n-Octane (#%) ethanol (#%) and NN-Dimethylformamide (DMF #%) were purchased from Aldrich.	1	1	10.1038/s41467-024-44894-z	Cadmium oxide (CdO 99.998% powder) zinc oxide (ZnO 99.9% powder) sulfur (S 99.998% powder) oleic acid (OA 90%) 1-octanethiol (OT 98%) 1-octadecene (ODE 90%) zinc acetate (Zn(OA)₂, 99.99%) dimethyl sulfoxide (DMSO 99.7%) tetramethylammoniumhydroxide (TMAH 98%) chlorobenzene (99%) magnesium acetate tetrahydrate (Mg(OAc)₂·4H₂O 99.98%) zinc(II) acetate dihydrate (Zn(OAc)₂·2H₂O 99.99%) paraffin oil n-Octane (99%) ethanol (99.8%) and NN-Dimethylformamide (DMF 99.89%) were purchased from Aldrich.
abstract	introduction	Quantum dot light-emitting diodes (QLEDs) have emerged as strong contenders in solid-state lighting and display technologies due to their high color purity efficiency and wide color gamut.	1	1	10.1038/s41467-025-59527-2	Quantum dot light-emitting diodes (QLEDs) have emerged as strong contenders in solid-state lighting and display technologies due to their high color purity efficiency and wide color gamut.
introduction	results	Uniform and dense quantum dot films suppress charge leakage	1	1	10.1038/s41467-025-59527-2	Uniform and dense quantum dot films suppress charge leakage
results	discussion	In summary this study underscores the pivotal role of uniform QD films in enhancing the EL performance and operational stability of QLEDs.	1	1	10.1038/s41467-025-59527-2	In summary this study underscores the pivotal role of uniform QD films in enhancing the EL performance and operational stability of QLEDs.
discussion	methods	Dimethyldichlorosilane (DMS #%) was purchased from Macklin.	1	1	10.1038/s41467-025-59527-2	Dimethyldichlorosilane (DMS 99%) was purchased from Macklin.
