section	opener_3gram	total_occurrences	paper_count	top_papers
results	to verify the	20	18	10.1038/s41467-024-55653-5;10.1038/s41377-020-0328-6;10.1038/s41377-024-01727-4;10.1038/s41467-019-08561-y;10.1038/s41467-021-27652-3
introduction	in this study	20	20	10.1038/s41377-025-01817-x;10.1038/s41377-025-01835-9;10.1038/s41377-025-01867-1;10.1038/s41467-020-18006-6;10.1038/s41467-022-31853-9
results	in comparison the	19	17	10.1038/s41467-024-49574-6;10.1038/s41467-024-55619-7;10.1038/s41377-020-0328-6;10.1038/s41377-026-02356-9;10.1038/s41467-018-05760-x
methods	further information on	19	19	10.1038/s41467-019-13909-5;10.1038/s41467-021-22864-z;10.1038/s41467-022-28037-w;10.1038/s41467-022-32010-y;10.1038/s41467-024-45944-2
results	figure 2a shows	19	18	10.1038/s41467-023-40194-0;10.1038/s41377-022-01036-8;10.1038/s41467-018-05909-8;10.1038/s41467-018-07383-8;10.1038/s41467-020-14747-6
methods	all chemicals were	19	19	10.1038/s41377-022-00855-z;10.1038/s41377-022-01036-8;10.1038/s41467-018-05909-8;10.1038/s41467-020-16855-9;10.1038/s41467-021-22864-z
results	this can be	19	19	10.1038/s41377-025-01740-1;10.1038/s41377-026-02237-1;10.1038/s41467-018-03049-7;10.1038/s41467-019-08561-y;10.1038/s41467-020-15481-9
results	the formation of	19	16	10.1038/s41467-022-35731-2;10.1038/s41467-024-45944-2;10.1038/s41377-025-01867-1;10.1038/s41377-025-02000-y;10.1038/s41467-020-14747-6
methods	the reaction was	19	15	10.1038/s41467-026-73298-4;10.1038/s41467-024-55619-7;10.1038/s43246-026-01177-y;10.1038/s41467-018-07383-8;10.1038/s41467-019-13951-3
results	to elucidate the	18	15	10.1038/s41377-025-01867-1;10.1038/s41377-025-02019-1;10.1038/s41467-025-67737-x;10.1038/s41377-022-00992-5;10.1038/s41377-026-02184-x
results	more importantly the	18	16	10.1038/s41467-021-20970-6;10.1038/s41467-024-45945-1;10.1038/s41377-022-00992-5;10.1038/s41377-026-02247-z;10.1038/s41467-020-20555-9
methods	the substrates were	18	16	10.1038/s41467-019-08749-2;10.1038/s41467-025-57746-1;10.1038/s41467-019-13437-2;10.1038/s41467-020-14747-6;10.1038/s41467-020-20582-6
results	based on these	18	17	10.1038/s41467-026-68315-5;10.1038/s41377-025-01817-x;10.1038/s41467-018-03049-7;10.1038/s41467-018-07383-8;10.1038/s41467-023-40194-0
results	x-ray diffraction xrd	17	17	10.1038/s41377-022-00992-5;10.1038/s41377-022-01036-8;10.1038/s41377-024-01727-4;10.1038/s41377-025-02019-1;10.1038/s41377-026-02184-x
methods	xrd patterns were	17	17	10.1038/s41377-024-01601-3;10.1038/s41377-024-01704-x;10.1038/s41467-018-07099-9;10.1038/s41467-019-09794-7;10.1038/s41467-019-13437-2
abstract	here we demonstrate	17	17	10.1038/s41377-025-01972-1;10.1038/s41467-018-04986-z;10.1038/s41467-018-06425-5;10.1038/s41467-021-24616-5;10.1038/s41467-024-47184-w
results	in other words	17	14	10.1038/s41377-026-02246-0;10.1038/s41586-024-07149-x;10.1038/s41467-017-01379-6;10.1038/s41467-018-05760-x;10.1038/s41467-019-12558-y
results	it has been	17	15	10.1038/s43246-026-01136-7;10.1038/s41467-019-09737-2;10.1038/s41467-019-13909-5;10.1038/s41467-023-38216-y;10.1038/s41467-023-40150-y
results	these results are	16	13	10.1038/s41467-023-36118-7;10.1038/s41467-026-74198-3;10.1038/s42005-023-01169-1;10.1038/s41467-022-31478-y;10.1038/s41467-024-45944-2
results	to address this	16	15	10.1038/s41467-025-56557-8;10.1038/s41377-026-02237-1;10.1038/s41467-019-12558-y;10.1038/s41467-020-18006-6;10.1038/s41467-021-24616-5
results	this is because	16	13	10.1038/s41377-025-01835-9;10.1038/s41467-019-08561-y;10.1038/s41467-020-20433-4;10.1038/s41377-022-01036-8;10.1038/s41377-025-01959-y
methods	the sample was	16	13	10.1038/s41467-025-61511-9;qdp_2016_inas-qd-size-tunable-nir-emission;10.1038/s41377-022-00855-z;10.1038/s41467-021-27652-3;10.1038/s41467-022-31189-4
methods	the perovskite films	16	14	10.1038/s41467-025-64546-0;10.1038/s41467-026-73911-6;10.1038/s41377-025-01768-3;10.1038/s41377-025-01987-8;10.1038/s41467-020-20582-6
results	the effect of	16	13	10.1038/s41377-025-01959-y;10.1038/s41467-024-50893-x;10.1038/s41586-023-05855-6;10.1038/s41467-022-28037-w;10.1038/s41467-022-31478-y
results	this is consistent	16	14	10.1038/s41467-018-05909-8;10.1038/s41467-018-06425-5;10.1038/s41377-020-0328-6;10.1038/s41467-019-08749-2;10.1038/s41467-020-15481-9
introduction	colloidal quantum dots	15	15	10.1038/s41377-024-01601-3;10.1038/s41377-026-02246-0;10.1038/s41467-017-01379-6;10.1038/s41467-019-09737-2;10.1038/s41467-019-12558-y
results	to further verify	15	10	10.1038/s41377-024-01601-3;10.1038/s41377-025-01959-y;10.1038/s41467-026-72625-z;10.1038/s41377-025-01867-1;10.1038/s41377-026-02246-0
results	as depicted in	15	12	10.1038/s41467-025-63653-2;10.1038/s41467-024-50634-0;10.1038/s41377-025-01768-3;10.1038/s41377-025-01835-9;10.1038/s41377-025-01972-1
results	the above results	15	13	10.1038/s41928-024-01181-5;10.1038/s41377-024-01601-3;10.1038/s41377-026-02247-z;10.1038/s41467-018-06294-y;10.1038/s41467-024-44894-z
results	the device structure	15	14	10.1038/s41467-024-52401-7;10.1038/s41377-024-01500-7;10.1038/s41377-025-01740-1;10.1038/s41377-025-01959-y;10.1038/s41377-025-02000-y
results	for example the	15	15	10.1038/s41377-026-02246-0;10.1038/s41467-017-01379-6;10.1038/s41467-019-08749-2;10.1038/s41467-020-17633-3;10.1038/s41467-023-39488-0
introduction	in recent years	14	14	10.1038/s41377-025-01740-1;10.1038/s41377-026-02247-z;10.1038/s41467-023-39531-0;10.1038/s41467-023-41041-y;10.1038/s41467-024-54160-x
results	on the basis	14	9	10.1038/s41586-023-05855-6;10.1038/s41467-019-13951-3;10.1038/s41928-026-01670-9;qdp_2012_lifetime-blinking-nonblinking-qd;10.1038/s41377-025-01867-1
introduction	in order to	14	11	10.1038/s41467-023-41868-5;10.1038/s41377-022-00855-z;10.1038/s41467-018-03049-7;10.1038/s41467-018-05760-x;10.1038/s41467-018-06425-5
results	at the same	14	14	10.1038/s41377-022-00855-z;10.1038/s41467-020-15944-z;10.1038/s41467-023-38216-y;10.1038/s41467-023-40150-y;10.1038/s41467-023-41868-5
results	we find that	14	11	10.1038/s41467-025-64696-1;10.1038/s41467-024-52208-6;10.1038/s41467-018-03049-7;10.1038/s41467-020-20582-6;10.1038/s41467-021-22864-z
results	owing to the	14	13	10.1038/s41377-025-01867-1;10.1038/s41467-020-16855-9;10.1038/s41467-020-18006-6;10.1038/s41467-022-29538-4;10.1038/s41467-022-31853-9
results	these results confirm	14	12	10.1038/s41467-026-69198-2;10.1038/s41467-026-71949-0;10.1038/s41377-025-02019-1;10.1038/s41467-019-08561-y;10.1038/s41467-019-13437-2
results	this leads to	14	13	10.1038/s41467-026-71949-0;10.1038/s41377-025-01972-1;10.1038/s41467-019-09737-2;10.1038/s41467-023-40194-0;10.1038/s41467-024-49574-6
methods	the temperature was	14	13	10.1038/s41467-024-50022-8;10.1038/s41377-022-00855-z;10.1038/s41467-020-14747-6;10.1038/s41467-020-14756-5;10.1038/s41467-024-50432-8
methods	the thickness of	14	13	10.1038/s41467-026-69198-2;10.1038/s41467-018-02978-7;10.1038/s41467-018-05760-x;10.1038/s41467-018-05909-8;10.1038/s41467-019-09737-2
methods	the thicknesses of	14	12	10.1038/s41467-024-47891-4;10.1038/s41928-026-01670-9;10.1038/s41377-025-01835-9;10.1038/s41377-025-01972-1;10.1038/s41467-019-13909-5
methods	the device area	14	13	10.1038/s41467-024-47891-4;10.1038/s41377-020-0328-6;10.1038/s41467-018-02978-7;10.1038/s41467-018-05760-x;10.1038/s41467-020-14756-5
introduction	therefore it is	14	13	10.1038/s41467-025-63653-2;10.1038/s41377-022-01036-8;10.1038/s41377-024-01601-3;10.1038/s41377-025-02000-y;10.1038/s41377-026-02246-0
results	to the best	13	13	10.1038/s41377-025-01817-x;10.1038/s41377-025-01867-1;10.1038/s41467-018-06425-5;10.1038/s41467-020-16659-x;10.1038/s41467-020-16865-7
methods	in order to	13	12	10.1038/s41467-019-09737-2;10.1038/s41467-018-03049-7;10.1038/s41467-018-06425-5;10.1038/s41467-020-16865-7;10.1038/s41467-021-20970-6
methods	all of the	13	11	10.1038/s41467-023-41929-9;10.1038/s41377-024-01500-7;10.1038/s41467-018-05760-x;10.1038/s41467-019-09794-7;10.1038/s41467-020-17633-3
results	the results indicate	13	13	10.1038/s41467-020-15944-z;10.1038/s41467-023-36118-7;10.1038/s41467-023-41041-y;10.1038/s41467-024-47891-4;10.1038/s41467-024-52521-0
introduction	here we report	13	11	10.1038/s41467-020-16855-9;10.1038/s43246-026-01136-7;10.1038/s41377-026-02231-7;10.1038/s41467-020-14756-5;10.1038/s41467-020-16652-4
results	figure 4c shows	13	13	10.1038/s41377-025-01959-y;10.1038/s41467-018-02978-7;10.1038/s41467-021-22864-z;10.1038/s41467-021-24931-x;10.1038/s41467-022-31853-9
abstract	here we show	13	13	10.1038/s41377-020-0328-6;10.1038/s41467-019-12558-y;10.1038/s41467-020-15481-9;10.1038/s41467-020-16865-7;10.1038/s41467-021-24762-w
methods	the qds were	13	7	10.1038/s41467-020-14756-5;qdp_2013_carrier-multiplication-qd-films;10.1038/s41377-026-02356-9;10.1038/s41467-019-12558-y;10.1038/s41467-020-16659-x
results	we attribute the	13	11	10.1038/s41467-021-25955-z;10.1038/s41467-022-29812-5;10.1038/s41377-025-01972-1;10.1038/s41467-018-05909-8;10.1038/s41467-021-22864-z
introduction	for example the	13	11	10.1038/s41377-026-02246-0;10.1038/s41467-020-17633-3;10.1038/s41377-022-00992-5;10.1038/s41377-024-01601-3;10.1038/s41377-024-01727-4
results	full size imagea	13	4	10.1038/s41467-025-64111-9;10.1038/s41467-021-27652-3;10.1038/s41467-025-63389-z;10.1038/s41467-026-73911-6
methods	the el spectra	13	13	10.1038/s41377-022-01036-8;10.1038/s41467-019-09794-7;10.1038/s41467-020-17633-3;10.1038/s41467-023-43340-w;10.1038/s41467-024-44894-z
results	this result indicates	12	11	10.1038/s41467-024-49751-7;10.1038/s41377-026-02237-1;10.1038/s41467-020-16855-9;10.1038/s41467-022-28480-9;10.1038/s41467-023-39531-0
results	the pl intensity	12	10	10.1038/s41377-025-01740-1;10.1038/s41467-024-50634-0;10.1038/s41377-026-02246-0;10.1038/s41467-018-03049-7;10.1038/s41467-024-54160-x
results	considering that the	12	12	10.1038/s41377-022-00855-z;10.1038/s41377-025-01835-9;10.1038/s41467-017-01379-6;10.1038/s41467-020-20582-6;10.1038/s41467-024-47184-w
methods	in a typical	12	12	10.1038/s41377-022-00855-z;10.1038/s41377-024-01704-x;10.1038/s41377-026-02237-1;10.1038/s41467-017-01379-6;10.1038/s41467-018-06294-y
introduction	on the other	12	11	10.1038/s41467-024-52208-6;10.1038/s41377-020-0328-6;10.1038/s41467-020-15481-9;10.1038/s41467-020-20555-9;10.1038/s41467-021-25955-z
methods	absorption spectra were	12	12	10.1038/s41377-024-01500-7;10.1038/s41467-020-14747-6;10.1038/s41467-020-16855-9;10.1038/s41467-024-45944-2;10.1038/s41467-024-45945-1
results	x-ray photoelectron spectroscopy	12	12	10.1038/s41377-022-01036-8;10.1038/s41377-025-01987-8;10.1038/s41377-025-02019-1;10.1038/s41377-026-02237-1;10.1038/s41467-019-13437-2
discussion	in this work	12	12	10.1038/s41377-020-0328-6;10.1038/s41377-025-01768-3;10.1038/s41377-026-02246-0;10.1038/s41467-019-08561-y;10.1038/s41467-022-31853-9
results	in particular the	12	11	10.1038/s41467-024-47184-w;10.1038/s41377-024-01601-3;10.1038/s41377-025-01959-y;10.1038/s41467-019-09794-7;10.1038/s41467-020-17633-3
results	this results in	12	12	10.1038/s41377-025-01768-3;10.1038/s41377-025-01835-9;10.1038/s41467-020-20433-4;10.1038/s41467-022-32010-y;10.1038/s41467-023-41868-5
results	by contrast the	12	11	10.1038/s41467-026-74583-y;10.1038/s41467-018-07383-8;10.1038/s41467-022-28480-9;10.1038/s41467-024-49791-z;10.1038/s41467-025-57746-1
results	to further understand	12	12	10.1038/s41377-022-00855-z;10.1038/s41377-026-02237-1;10.1038/s41467-020-16855-9;10.1038/s41467-024-55619-7;10.1038/s41467-025-59527-2
methods	x-ray photoelectron spectroscopy	12	12	10.1038/s41377-025-01768-3;10.1038/s41377-025-01959-y;10.1038/s41467-020-20582-6;10.1038/s41467-021-27652-3;10.1038/s41467-023-41868-5
results	this observation is	12	11	10.1038/s41467-019-12558-y;10.1038/s41467-018-06425-5;10.1038/s41467-021-20970-6;10.1038/s41467-021-22864-z;10.1038/s41467-024-49838-1
results	by fitting the	12	11	10.1038/s41467-025-56557-8;10.1038/s41377-024-01704-x;10.1038/s41377-026-02356-9;10.1038/s41467-019-13909-5;10.1038/s41467-019-13951-3
results	we found that	12	11	10.1038/s41467-018-05909-8;10.1038/s41377-024-01500-7;10.1038/s41377-026-02237-1;10.1038/s41467-020-20555-9;10.1038/s41467-021-25955-z
methods	density functional theory	12	10	10.1038/s41377-024-01704-x;10.1038/s41377-026-02237-1;10.1038/s41377-025-01768-3;10.1038/s41467-025-56068-6;10.1038/s41467-025-63389-z
results	we attribute this	12	12	10.1038/s41377-025-01987-8;10.1038/s41467-018-05909-8;10.1038/s41467-018-06425-5;10.1038/s41467-019-13437-2;10.1038/s41467-020-20582-6
results	to demonstrate the	12	11	10.1038/s41467-023-41868-5;10.1038/s41377-026-02246-0;10.1038/s41467-018-07099-9;10.1038/s41467-022-32010-y;10.1038/s41467-024-49838-1
methods	sem images were	12	12	10.1038/s41377-025-01987-8;10.1038/s41467-018-05760-x;10.1038/s41467-018-07099-9;10.1038/s41467-019-13437-2;10.1038/s41467-021-22864-z
results	figure 4a shows	12	12	10.1038/s41377-025-01972-1;10.1038/s41377-026-02246-0;10.1038/s41467-018-03049-7;10.1038/s41467-020-16652-4;10.1038/s41467-022-31853-9
methods	all samples were	12	8	10.1038/s41467-022-35731-2;10.1038/s41377-025-01817-x;10.1038/s41467-018-07383-8;10.1038/s41467-019-13951-3;10.1038/s41467-020-14747-6
results	however when the	12	12	10.1038/s41467-018-05760-x;10.1038/s41467-018-07383-8;10.1038/s41467-021-22864-z;10.1038/s41467-023-39531-0;10.1038/s41467-024-45945-1
results	it was found	12	9	10.1038/s41377-022-00855-z;10.1038/s41467-025-56068-6;10.1038/s43246-026-01177-y;10.1038/s41467-023-36118-7;10.1038/s41467-024-46243-6
results	on the contrary	12	10	10.1038/s43246-026-01136-7;qc_2015_wearable-rgb-qled-array;10.1038/s41377-025-01817-x;10.1038/s41467-020-16865-7;10.1038/s41467-022-29702-w
results	we believe that	11	10	10.1038/s41467-020-20582-6;10.1038/s41377-020-0328-6;10.1038/s41467-018-06425-5;10.1038/s41467-020-16855-9;10.1038/s41467-021-22864-z
abstract	here we present	11	11	10.1038/s41467-018-03049-7;10.1038/s41467-021-24931-x;10.1038/s41467-023-39488-0;10.1038/s41467-023-39531-0;10.1038/s41467-024-49751-7
results	we also note	11	10	10.1038/s41467-025-57472-8;10.1038/s41467-020-14747-6;10.1038/s41467-021-20970-6;10.1038/s41467-022-32010-y;10.1038/s41467-023-43340-w
methods	the structure of	11	7	10.1038/s41377-025-01835-9;10.1038/s41467-020-15944-z;10.1038/s41467-024-52521-0;10.1038/s41467-025-60886-z;10.1038/s41467-018-05909-8
methods	the device structure	11	4	10.1038/s41467-022-31478-y;10.1038/s41467-025-65871-0;10.1038/s41467-020-16865-7;10.1038/s41467-024-50022-8
results	figure 1b shows	11	11	10.1038/s41377-025-01959-y;10.1038/s41377-025-02000-y;10.1038/s41467-017-01379-6;10.1038/s41467-019-08561-y;10.1038/s41467-022-31853-9
results	the x-ray diffraction	11	11	10.1038/s41377-026-02231-7;10.1038/s41467-018-03049-7;10.1038/s41467-019-08561-y;10.1038/s41467-019-13909-5;10.1038/s41467-021-20970-6
results	encouraged by the	11	11	10.1038/s41377-024-01704-x;10.1038/s41377-026-02237-1;10.1038/s41467-018-05909-8;10.1038/s41467-019-09794-7;10.1038/s41467-020-14747-6
results	as expected the	11	10	10.1038/s41467-020-20555-9;10.1038/s41377-025-01959-y;10.1038/s41467-019-09737-2;10.1038/s41467-019-09794-7;10.1038/s41467-020-17633-3
methods	preparation of perovskite	11	10	10.1038/s41467-024-54160-x;10.1038/s41467-018-03049-7;10.1038/s41467-018-06425-5;10.1038/s41467-021-24616-5;10.1038/s41467-025-56068-6
introduction	metal halide perovskites	11	11	10.1038/s41377-020-0328-6;10.1038/s41377-025-01768-3;10.1038/s41467-018-05909-8;10.1038/s41467-019-08561-y;10.1038/s41467-020-14747-6
results	it is evident	11	10	10.1038/s43246-026-01177-y;10.1038/s41467-025-59515-6;10.1038/s41467-025-60886-z;10.1038/s41467-026-70555-4;10.1038/s41467-026-72115-2
methods	for the preparation	11	7	10.1038/s41563-025-02123-y;10.1038/s41467-024-49791-z;10.1038/s41467-026-72733-w;10.1038/s41377-024-01601-3;10.1038/s41377-026-02246-0
results	as seen in	11	6	10.1038/s41467-023-35954-x;10.1038/s41467-019-08749-2;10.1038/s41467-024-49574-6;10.1038/s41928-024-01205-0;alhtl_2017_cspbbr3-moo3-hil-peled
results	figure 1c shows	11	11	10.1038/s41377-024-01500-7;10.1038/s41467-019-08561-y;10.1038/s41467-019-08749-2;10.1038/s41467-021-24931-x;10.1038/s41467-023-38216-y
results	the eqe of	11	11	10.1038/s41377-022-01036-8;10.1038/s41377-024-01727-4;10.1038/s41377-025-01835-9;10.1038/s41377-026-02184-x;10.1038/s41467-018-03049-7
results	to study the	11	10	10.1038/s41467-024-49751-7;10.1038/s41467-018-06294-y;10.1038/s41467-018-06425-5;10.1038/s41467-020-18006-6;10.1038/s41467-023-35954-x
results	the pl decay	11	10	10.1038/s41467-023-40150-y;10.1038/s41377-022-01036-8;10.1038/s41467-020-20555-9;10.1038/s41467-021-24616-5;10.1038/s41467-024-45945-1
methods	fourier transform infrared	11	11	10.1038/s41377-025-01768-3;10.1038/s41377-025-01867-1;10.1038/s41377-026-02237-1;10.1038/s41467-020-14756-5;10.1038/s41467-024-47184-w
abstract	as a result	11	11	10.1038/s41377-025-01972-1;10.1038/s41377-026-02237-1;10.1038/s41467-021-21522-8;10.1038/s41467-023-36773-w;10.1038/s41467-024-54160-x
methods	atomic force microscopy	11	11	10.1038/s41377-024-01704-x;10.1038/s41377-025-01959-y;10.1038/s41377-025-02000-y;10.1038/s41467-020-15481-9;10.1038/s41467-020-20555-9
methods	then the substrates	11	9	10.1038/s41467-024-55376-7;10.1038/s41377-022-00992-5;10.1038/s41377-024-01601-3;10.1038/s41467-019-09794-7;10.1038/s41467-021-24931-x
